,date,contributors,total_changes
0,2018-10-31 00:00:00+00:00,2,10231
1,2018-11-30 00:00:00+00:00,19,124712
2,2018-12-31 00:00:00+00:00,15,5234
3,2019-01-31 00:00:00+00:00,15,14006
4,2019-02-28 00:00:00+00:00,20,23902
5,2019-03-31 00:00:00+00:00,23,6312
6,2019-04-30 00:00:00+00:00,20,9120
7,2019-05-31 00:00:00+00:00,14,3800
8,2019-06-30 00:00:00+00:00,15,43180
9,2019-07-31 00:00:00+00:00,23,160713
10,2019-08-31 00:00:00+00:00,34,64458
11,2019-09-30 00:00:00+00:00,34,226726
12,2019-10-31 00:00:00+00:00,40,220141
13,2019-11-30 00:00:00+00:00,46,58079
14,2019-12-31 00:00:00+00:00,44,478341
15,2020-01-31 00:00:00+00:00,37,26088
16,2020-02-29 00:00:00+00:00,46,18614
17,2020-03-31 00:00:00+00:00,57,65774
18,2020-04-30 00:00:00+00:00,69,24523
19,2020-05-31 00:00:00+00:00,79,53287
20,2020-06-30 00:00:00+00:00,77,80390
21,2020-07-31 00:00:00+00:00,82,39617
22,2020-08-31 00:00:00+00:00,90,44581
23,2020-09-30 00:00:00+00:00,89,76079
24,2020-10-31 00:00:00+00:00,120,85733
25,2020-11-30 00:00:00+00:00,98,238285
26,2020-12-31 00:00:00+00:00,58,157020
27,2021-01-31 00:00:00+00:00,56,81695
28,2021-02-28 00:00:00+00:00,45,47418
29,2021-03-31 00:00:00+00:00,65,44061
30,2021-04-30 00:00:00+00:00,68,79824
31,2021-05-31 00:00:00+00:00,57,33865
32,2021-06-30 00:00:00+00:00,66,63067
33,2021-07-31 00:00:00+00:00,53,46166
34,2021-08-31 00:00:00+00:00,63,46883
35,2021-09-30 00:00:00+00:00,56,32494
36,2021-10-31 00:00:00+00:00,79,37493
37,2021-11-30 00:00:00+00:00,46,38321
38,2021-12-31 00:00:00+00:00,55,190809
39,2022-01-31 00:00:00+00:00,59,62310
40,2022-02-28 00:00:00+00:00,60,291985
41,2022-03-31 00:00:00+00:00,124,82611
42,2022-04-30 00:00:00+00:00,82,102691
43,2022-05-31 00:00:00+00:00,93,307858
44,2022-06-30 00:00:00+00:00,99,50145
45,2022-07-31 00:00:00+00:00,77,27252
46,2022-08-31 00:00:00+00:00,84,28234
47,2022-09-30 00:00:00+00:00,90,64013
48,2022-10-31 00:00:00+00:00,141,61342
49,2022-11-30 00:00:00+00:00,77,125850
50,2022-12-31 00:00:00+00:00,65,39207
51,2023-01-31 00:00:00+00:00,77,87392
52,2023-02-28 00:00:00+00:00,97,65381
53,2023-03-31 00:00:00+00:00,107,53732
54,2023-04-30 00:00:00+00:00,97,39108
55,2023-05-31 00:00:00+00:00,118,61217
56,2023-06-30 00:00:00+00:00,98,226256
57,2023-07-31 00:00:00+00:00,96,62667
58,2023-08-31 00:00:00+00:00,99,57130
59,2023-09-30 00:00:00+00:00,93,35864
60,2023-10-31 00:00:00+00:00,126,78195
61,2023-11-30 00:00:00+00:00,93,81976
62,2023-12-31 00:00:00+00:00,91,56515
63,2024-01-31 00:00:00+00:00,114,46284
64,2024-02-29 00:00:00+00:00,87,42798
65,2024-03-31 00:00:00+00:00,120,60606
66,2024-04-30 00:00:00+00:00,96,70082
67,2024-05-31 00:00:00+00:00,100,158787
68,2024-06-30 00:00:00+00:00,99,52168
69,2024-07-31 00:00:00+00:00,101,51101
70,2024-08-31 00:00:00+00:00,123,46397
71,2024-09-30 00:00:00+00:00,111,81877
72,2024-10-31 00:00:00+00:00,138,93592
73,2024-11-30 00:00:00+00:00,90,32346
74,2024-12-31 00:00:00+00:00,92,63697
75,2025-01-31 00:00:00+00:00,110,90605
