,date,contributors,total_changes
0,2005-07-31 00:00:00+00:00,2,34589
1,2005-08-31 00:00:00+00:00,1,223
2,2005-09-30 00:00:00+00:00,2,1173
3,2005-10-31 00:00:00+00:00,1,752
4,2005-11-30 00:00:00+00:00,1,798
5,2005-12-31 00:00:00+00:00,1,4988
6,2006-01-31 00:00:00+00:00,3,6362
7,2006-02-28 00:00:00+00:00,2,1194
8,2006-03-31 00:00:00+00:00,2,5606
9,2006-04-30 00:00:00+00:00,1,745
10,2006-05-31 00:00:00+00:00,3,6728
11,2006-06-30 00:00:00+00:00,3,1885
12,2006-07-31 00:00:00+00:00,2,956
13,2006-08-31 00:00:00+00:00,3,226
14,2006-09-30 00:00:00+00:00,2,390
15,2006-10-31 00:00:00+00:00,3,3250
16,2006-11-30 00:00:00+00:00,4,2242
17,2006-12-31 00:00:00+00:00,2,3377
18,2007-01-31 00:00:00+00:00,3,606
19,2007-02-28 00:00:00+00:00,3,337
20,2007-03-31 00:00:00+00:00,4,14639
21,2007-04-30 00:00:00+00:00,5,2442
22,2007-05-31 00:00:00+00:00,5,5854
23,2007-06-30 00:00:00+00:00,3,591
24,2007-07-31 00:00:00+00:00,2,512
25,2007-08-31 00:00:00+00:00,3,1659
26,2007-09-30 00:00:00+00:00,3,3452
27,2007-10-31 00:00:00+00:00,2,151
28,2007-11-30 00:00:00+00:00,4,9897
29,2007-12-31 00:00:00+00:00,3,2116
30,2008-01-31 00:00:00+00:00,4,33245
31,2008-02-29 00:00:00+00:00,7,151903
32,2008-03-31 00:00:00+00:00,5,28221
33,2008-04-30 00:00:00+00:00,4,5559
34,2008-05-31 00:00:00+00:00,4,13131
35,2008-06-30 00:00:00+00:00,8,66007
36,2008-07-31 00:00:00+00:00,9,77207
37,2008-08-31 00:00:00+00:00,11,8561
38,2008-09-30 00:00:00+00:00,6,7493
39,2008-10-31 00:00:00+00:00,3,2324
40,2008-11-30 00:00:00+00:00,4,5244
41,2008-12-31 00:00:00+00:00,2,576
42,2009-01-31 00:00:00+00:00,1,56
43,2009-02-28 00:00:00+00:00,8,4069
44,2009-03-31 00:00:00+00:00,8,8291
45,2009-04-30 00:00:00+00:00,9,4041
46,2009-05-31 00:00:00+00:00,4,249
47,2009-06-30 00:00:00+00:00,1,9
48,2009-07-31 00:00:00+00:00,5,7534
49,2009-08-31 00:00:00+00:00,3,19175
50,2009-09-30 00:00:00+00:00,2,19763
51,2009-10-31 00:00:00+00:00,1,7153
52,2009-11-30 00:00:00+00:00,3,7330
53,2009-12-31 00:00:00+00:00,2,5477
54,2010-01-31 00:00:00+00:00,4,18918
55,2010-02-28 00:00:00+00:00,2,1297
56,2010-03-31 00:00:00+00:00,1,2
57,2010-04-30 00:00:00+00:00,12,1320
58,2010-05-31 00:00:00+00:00,2,13
59,2010-06-30 00:00:00+00:00,1,78
60,2010-07-31 00:00:00+00:00,6,15504
61,2010-08-31 00:00:00+00:00,4,27140
62,2010-09-30 00:00:00+00:00,6,10035
63,2010-10-31 00:00:00+00:00,10,141429
64,2010-11-30 00:00:00+00:00,8,2680
65,2010-12-31 00:00:00+00:00,6,901
66,2011-01-31 00:00:00+00:00,8,15323
67,2011-02-28 00:00:00+00:00,13,25459
68,2011-03-31 00:00:00+00:00,9,52787
69,2011-04-30 00:00:00+00:00,12,88147
70,2011-05-31 00:00:00+00:00,18,30847
71,2011-06-30 00:00:00+00:00,12,16614
72,2011-07-31 00:00:00+00:00,23,21748
73,2011-08-31 00:00:00+00:00,18,60369
74,2011-09-30 00:00:00+00:00,24,5978
75,2011-10-31 00:00:00+00:00,22,23302
76,2011-11-30 00:00:00+00:00,15,13662
77,2011-12-31 00:00:00+00:00,22,26265
78,2012-01-31 00:00:00+00:00,21,26927
79,2012-02-29 00:00:00+00:00,21,6449
80,2012-03-31 00:00:00+00:00,26,10317
81,2012-04-30 00:00:00+00:00,20,8672
82,2012-05-31 00:00:00+00:00,30,39935
83,2012-06-30 00:00:00+00:00,30,54834
84,2012-07-31 00:00:00+00:00,23,28073
85,2012-08-31 00:00:00+00:00,28,5129
86,2012-09-30 00:00:00+00:00,22,6453
87,2012-10-31 00:00:00+00:00,20,104947
88,2012-11-30 00:00:00+00:00,22,4546
89,2012-12-31 00:00:00+00:00,25,60874
90,2013-01-31 00:00:00+00:00,32,112202
91,2013-02-28 00:00:00+00:00,27,133424
92,2013-03-31 00:00:00+00:00,18,10565
93,2013-04-30 00:00:00+00:00,31,282515
94,2013-05-31 00:00:00+00:00,25,52978
95,2013-06-30 00:00:00+00:00,29,27894
96,2013-07-31 00:00:00+00:00,34,213952
97,2013-08-31 00:00:00+00:00,34,20242
98,2013-09-30 00:00:00+00:00,30,24792
99,2013-10-31 00:00:00+00:00,24,31537
100,2013-11-30 00:00:00+00:00,16,21080
101,2013-12-31 00:00:00+00:00,25,17850
102,2014-01-31 00:00:00+00:00,29,34533
103,2014-02-28 00:00:00+00:00,26,17919
104,2014-03-31 00:00:00+00:00,24,36546
105,2014-04-30 00:00:00+00:00,44,46026
106,2014-05-31 00:00:00+00:00,24,18268
107,2014-06-30 00:00:00+00:00,24,22111
108,2014-07-31 00:00:00+00:00,29,35408
109,2014-08-31 00:00:00+00:00,25,24263
110,2014-09-30 00:00:00+00:00,31,8546
111,2014-10-31 00:00:00+00:00,30,23080
112,2014-11-30 00:00:00+00:00,26,123202
113,2014-12-31 00:00:00+00:00,29,18465
114,2015-01-31 00:00:00+00:00,29,35883
115,2015-02-28 00:00:00+00:00,24,73896
116,2015-03-31 00:00:00+00:00,31,13479
117,2015-04-30 00:00:00+00:00,16,145498
118,2015-05-31 00:00:00+00:00,14,6818
119,2015-06-30 00:00:00+00:00,8,9208
120,2015-07-31 00:00:00+00:00,10,293
121,2015-08-31 00:00:00+00:00,12,29197
122,2015-09-30 00:00:00+00:00,9,8072
123,2015-10-31 00:00:00+00:00,14,551
124,2015-11-30 00:00:00+00:00,8,775
125,2015-12-31 00:00:00+00:00,10,899
126,2016-01-31 00:00:00+00:00,10,3141
127,2016-02-29 00:00:00+00:00,8,881
128,2016-03-31 00:00:00+00:00,10,713
129,2016-04-30 00:00:00+00:00,10,2196
130,2016-05-31 00:00:00+00:00,13,3411
131,2016-06-30 00:00:00+00:00,12,5082
132,2016-07-31 00:00:00+00:00,15,1890
133,2016-08-31 00:00:00+00:00,19,1084
134,2016-09-30 00:00:00+00:00,13,384
135,2016-10-31 00:00:00+00:00,13,3705
136,2016-11-30 00:00:00+00:00,7,1842
137,2016-12-31 00:00:00+00:00,6,560
