,date,contributors,total_changes
0,2018-11-30 00:00:00+00:00,6,18000
1,2018-12-31 00:00:00+00:00,18,15054
2,2019-01-31 00:00:00+00:00,13,8409
3,2019-02-28 00:00:00+00:00,15,15849
4,2019-03-31 00:00:00+00:00,15,10638
5,2019-04-30 00:00:00+00:00,20,8990
6,2019-05-31 00:00:00+00:00,13,12025
7,2019-06-30 00:00:00+00:00,15,8310
8,2019-07-31 00:00:00+00:00,21,13976
9,2019-08-31 00:00:00+00:00,27,17651
10,2019-09-30 00:00:00+00:00,21,15334
11,2019-10-31 00:00:00+00:00,22,14363
12,2019-11-30 00:00:00+00:00,21,11903
13,2019-12-31 00:00:00+00:00,24,8212
14,2020-01-31 00:00:00+00:00,31,14062
15,2020-02-29 00:00:00+00:00,34,6365
16,2020-03-31 00:00:00+00:00,29,19462
17,2020-04-30 00:00:00+00:00,44,29878
18,2020-05-31 00:00:00+00:00,44,34906
19,2020-06-30 00:00:00+00:00,38,28266
20,2020-07-31 00:00:00+00:00,35,25625
21,2020-08-31 00:00:00+00:00,36,14297
22,2020-09-30 00:00:00+00:00,33,12182
23,2020-10-31 00:00:00+00:00,30,52366
24,2020-11-30 00:00:00+00:00,28,25591
25,2020-12-31 00:00:00+00:00,31,34094
26,2021-01-31 00:00:00+00:00,39,12224
27,2021-02-28 00:00:00+00:00,31,61153
28,2021-03-31 00:00:00+00:00,39,35909
29,2021-04-30 00:00:00+00:00,28,27671
30,2021-05-31 00:00:00+00:00,34,12828
31,2021-06-30 00:00:00+00:00,33,12195
32,2021-07-31 00:00:00+00:00,40,11408
33,2021-08-31 00:00:00+00:00,35,14737
34,2021-09-30 00:00:00+00:00,32,26790
35,2021-10-31 00:00:00+00:00,33,21906
36,2021-11-30 00:00:00+00:00,23,30490
37,2021-12-31 00:00:00+00:00,29,14594
38,2022-01-31 00:00:00+00:00,29,10626
39,2022-02-28 00:00:00+00:00,38,23651
40,2022-03-31 00:00:00+00:00,42,20968
41,2022-04-30 00:00:00+00:00,38,25268
42,2022-05-31 00:00:00+00:00,40,20420
43,2022-06-30 00:00:00+00:00,46,23705
44,2022-07-31 00:00:00+00:00,39,21629
45,2022-08-31 00:00:00+00:00,41,30634
46,2022-09-30 00:00:00+00:00,39,18963
47,2022-10-31 00:00:00+00:00,46,37677
48,2022-11-30 00:00:00+00:00,49,20904
49,2022-12-31 00:00:00+00:00,32,43449
50,2023-01-31 00:00:00+00:00,37,12719
51,2023-02-28 00:00:00+00:00,44,50860
52,2023-03-31 00:00:00+00:00,47,47937
53,2023-04-30 00:00:00+00:00,32,21583
54,2023-05-31 00:00:00+00:00,42,14114
55,2023-06-30 00:00:00+00:00,42,20382
56,2023-07-31 00:00:00+00:00,30,22716
57,2023-08-31 00:00:00+00:00,44,29549
58,2023-09-30 00:00:00+00:00,40,26862
59,2023-10-31 00:00:00+00:00,43,25262
60,2023-11-30 00:00:00+00:00,40,25753
61,2023-12-31 00:00:00+00:00,33,22301
62,2024-01-31 00:00:00+00:00,48,40681
63,2024-02-29 00:00:00+00:00,49,28917
64,2024-03-31 00:00:00+00:00,59,23962
65,2024-04-30 00:00:00+00:00,55,37214
66,2024-05-31 00:00:00+00:00,72,41751
67,2024-06-30 00:00:00+00:00,62,36829
68,2024-07-31 00:00:00+00:00,65,52478
69,2024-08-31 00:00:00+00:00,61,38108
70,2024-09-30 00:00:00+00:00,66,44429
71,2024-10-31 00:00:00+00:00,70,46864
72,2024-11-30 00:00:00+00:00,78,29489
73,2024-12-31 00:00:00+00:00,67,30832
74,2025-01-31 00:00:00+00:00,66,36352
75,2025-02-28 00:00:00+00:00,71,51877
76,2025-03-31 00:00:00+00:00,78,82190
77,2025-04-30 00:00:00+00:00,88,84807
78,2025-05-31 00:00:00+00:00,92,47058
79,2025-06-30 00:00:00+00:00,78,51815
80,2025-07-31 00:00:00+00:00,81,62607
81,2025-08-31 00:00:00+00:00,75,64508
82,2025-09-30 00:00:00+00:00,79,52011
83,2025-10-31 00:00:00+00:00,85,59326
84,2025-11-30 00:00:00+00:00,66,58183
85,2025-12-31 00:00:00+00:00,67,39358
86,2026-01-31 00:00:00+00:00,55,34413
