,date,contributors,total_changes
0,2023-02-28 00:00:00+00:00,2,78011
1,2023-03-31 00:00:00+00:00,2,4370
2,2023-04-30 00:00:00+00:00,5,16368
3,2023-05-31 00:00:00+00:00,6,5667
4,2023-06-30 00:00:00+00:00,5,5076
5,2023-07-31 00:00:00+00:00,6,36939
6,2023-08-31 00:00:00+00:00,12,554
7,2023-09-30 00:00:00+00:00,5,9889
8,2023-10-31 00:00:00+00:00,5,699
9,2023-11-30 00:00:00+00:00,10,1768
10,2023-12-31 00:00:00+00:00,7,1260
11,2024-01-31 00:00:00+00:00,10,5805
12,2024-02-29 00:00:00+00:00,8,9123
13,2024-03-31 00:00:00+00:00,11,695
14,2024-04-30 00:00:00+00:00,8,1213
15,2024-05-31 00:00:00+00:00,5,1680
16,2024-06-30 00:00:00+00:00,8,4137
17,2024-07-31 00:00:00+00:00,9,2281
18,2024-08-31 00:00:00+00:00,10,1521
19,2024-09-30 00:00:00+00:00,7,2011
20,2024-10-31 00:00:00+00:00,11,1980
21,2024-11-30 00:00:00+00:00,6,512
22,2024-12-31 00:00:00+00:00,7,7048
23,2025-01-31 00:00:00+00:00,6,536
24,2025-02-28 00:00:00+00:00,7,948
25,2025-03-31 00:00:00+00:00,3,1540
26,2025-04-30 00:00:00+00:00,3,301
27,2025-05-31 00:00:00+00:00,3,3443
