,date,contributors,total_changes
0,2015-07-31 00:00:00+00:00,1,30
1,2015-08-31 00:00:00+00:00,0,0
2,2015-09-30 00:00:00+00:00,0,0
3,2015-10-31 00:00:00+00:00,0,0
4,2015-11-30 00:00:00+00:00,1,983
5,2015-12-31 00:00:00+00:00,1,1828
6,2016-01-31 00:00:00+00:00,5,13606
7,2016-02-29 00:00:00+00:00,7,25893
8,2016-03-31 00:00:00+00:00,8,37838
9,2016-04-30 00:00:00+00:00,8,153913
10,2016-05-31 00:00:00+00:00,7,35378
11,2016-06-30 00:00:00+00:00,19,34313
12,2016-07-31 00:00:00+00:00,22,43047
13,2016-08-31 00:00:00+00:00,24,35647
14,2016-09-30 00:00:00+00:00,21,35839
15,2016-10-31 00:00:00+00:00,21,30725
16,2016-11-30 00:00:00+00:00,19,24179
17,2016-12-31 00:00:00+00:00,11,20911
18,2017-01-31 00:00:00+00:00,8,26897
19,2017-02-28 00:00:00+00:00,15,33792
20,2017-03-31 00:00:00+00:00,12,58016
21,2017-04-30 00:00:00+00:00,14,27391
22,2017-05-31 00:00:00+00:00,22,42808
23,2017-06-30 00:00:00+00:00,13,35067
24,2017-07-31 00:00:00+00:00,20,49130
25,2017-08-31 00:00:00+00:00,19,28580
26,2017-09-30 00:00:00+00:00,12,3450
27,2017-10-31 00:00:00+00:00,12,167596
28,2017-11-30 00:00:00+00:00,9,20571
29,2017-12-31 00:00:00+00:00,12,36469
30,2018-01-31 00:00:00+00:00,18,26182
31,2018-02-28 00:00:00+00:00,26,11531
32,2018-03-31 00:00:00+00:00,28,11773
33,2018-04-30 00:00:00+00:00,24,11143
34,2018-05-31 00:00:00+00:00,28,11239
35,2018-06-30 00:00:00+00:00,21,24219
36,2018-07-31 00:00:00+00:00,36,90674
37,2018-08-31 00:00:00+00:00,35,97608
38,2018-09-30 00:00:00+00:00,22,44930
39,2018-10-31 00:00:00+00:00,41,35677
40,2018-11-30 00:00:00+00:00,38,10143
41,2018-12-31 00:00:00+00:00,24,8390
42,2019-01-31 00:00:00+00:00,25,17386
43,2019-02-28 00:00:00+00:00,24,22941
44,2019-03-31 00:00:00+00:00,23,11846
45,2019-04-30 00:00:00+00:00,26,27802
46,2019-05-31 00:00:00+00:00,28,44404
47,2019-06-30 00:00:00+00:00,36,72126
48,2019-07-31 00:00:00+00:00,35,43565
49,2019-08-31 00:00:00+00:00,26,41047
50,2019-09-30 00:00:00+00:00,30,19977
51,2019-10-31 00:00:00+00:00,29,33127
52,2019-11-30 00:00:00+00:00,29,18359
53,2019-12-31 00:00:00+00:00,28,76135
54,2020-01-31 00:00:00+00:00,25,32602
