,date,contributors,total_changes
0,2014-06-30 00:00:00+00:00,35,476499
1,2014-07-31 00:00:00+00:00,51,75248
2,2014-08-31 00:00:00+00:00,51,423892
3,2014-09-30 00:00:00+00:00,53,54061
4,2014-10-31 00:00:00+00:00,58,130048
5,2014-11-30 00:00:00+00:00,69,55818
6,2014-12-31 00:00:00+00:00,73,107876
7,2015-01-31 00:00:00+00:00,82,226600
8,2015-02-28 00:00:00+00:00,121,213443
9,2015-03-31 00:00:00+00:00,128,357678
10,2015-04-30 00:00:00+00:00,142,530981
11,2015-05-31 00:00:00+00:00,139,534175
12,2015-06-30 00:00:00+00:00,143,549055
13,2015-07-31 00:00:00+00:00,146,444099
14,2015-08-31 00:00:00+00:00,175,534953
15,2015-09-30 00:00:00+00:00,158,330889
16,2015-10-31 00:00:00+00:00,137,916120
17,2015-11-30 00:00:00+00:00,158,448974
18,2015-12-31 00:00:00+00:00,132,384959
19,2016-01-31 00:00:00+00:00,130,829160
20,2016-02-29 00:00:00+00:00,153,583542
21,2016-03-31 00:00:00+00:00,158,211437
22,2016-04-30 00:00:00+00:00,153,466502
23,2016-05-31 00:00:00+00:00,175,692168
24,2016-06-30 00:00:00+00:00,165,261265
25,2016-07-31 00:00:00+00:00,176,480213
26,2016-08-31 00:00:00+00:00,194,1885931
27,2016-09-30 00:00:00+00:00,181,702087
28,2016-10-31 00:00:00+00:00,196,975566
29,2016-11-30 00:00:00+00:00,188,573573
30,2016-12-31 00:00:00+00:00,176,787920
31,2017-01-31 00:00:00+00:00,187,1109317
32,2017-02-28 00:00:00+00:00,205,970877
33,2017-03-31 00:00:00+00:00,199,189269
34,2017-04-30 00:00:00+00:00,199,701624
35,2017-05-31 00:00:00+00:00,238,509245
36,2017-06-30 00:00:00+00:00,225,673015
37,2017-07-31 00:00:00+00:00,215,664281
38,2017-08-31 00:00:00+00:00,250,689044
39,2017-09-30 00:00:00+00:00,220,4415829
40,2017-10-31 00:00:00+00:00,234,392834
41,2017-11-30 00:00:00+00:00,235,366171
42,2017-12-31 00:00:00+00:00,181,366851
43,2018-01-31 00:00:00+00:00,222,162309
44,2018-02-28 00:00:00+00:00,227,497896
45,2018-03-31 00:00:00+00:00,192,142784
46,2018-04-30 00:00:00+00:00,189,171104
47,2018-05-31 00:00:00+00:00,187,239354
48,2018-06-30 00:00:00+00:00,191,479740
49,2018-07-31 00:00:00+00:00,169,199066
50,2018-08-31 00:00:00+00:00,222,443617
51,2018-09-30 00:00:00+00:00,196,268175
52,2018-10-31 00:00:00+00:00,192,279331
53,2018-11-30 00:00:00+00:00,189,403525
54,2018-12-31 00:00:00+00:00,150,355686
