,date,contributors,total_changes
0,2021-11-30 00:00:00+00:00,1,11835
1,2021-12-31 00:00:00+00:00,0,0
2,2022-01-31 00:00:00+00:00,2,2202
3,2022-02-28 00:00:00+00:00,9,9308
4,2022-03-31 00:00:00+00:00,7,9603
5,2022-04-30 00:00:00+00:00,9,7266
6,2022-05-31 00:00:00+00:00,9,2503
7,2022-06-30 00:00:00+00:00,3,1096
8,2022-07-31 00:00:00+00:00,5,5365
9,2022-08-31 00:00:00+00:00,7,8258
10,2022-09-30 00:00:00+00:00,8,2129
11,2022-10-31 00:00:00+00:00,8,1269
12,2022-11-30 00:00:00+00:00,10,5227
13,2022-12-31 00:00:00+00:00,11,6913
14,2023-01-31 00:00:00+00:00,9,71509
15,2023-02-28 00:00:00+00:00,13,11895
16,2023-03-31 00:00:00+00:00,10,18301
17,2023-04-30 00:00:00+00:00,13,6152
18,2023-05-31 00:00:00+00:00,16,19765
19,2023-06-30 00:00:00+00:00,12,13826
20,2023-07-31 00:00:00+00:00,16,7090
21,2023-08-31 00:00:00+00:00,11,10766
22,2023-09-30 00:00:00+00:00,19,15761
23,2023-10-31 00:00:00+00:00,20,23010
24,2023-11-30 00:00:00+00:00,13,16477
25,2023-12-31 00:00:00+00:00,22,8979
26,2024-01-31 00:00:00+00:00,15,23745
27,2024-02-29 00:00:00+00:00,21,27439
28,2024-03-31 00:00:00+00:00,20,11611
29,2024-04-30 00:00:00+00:00,28,17440
30,2024-05-31 00:00:00+00:00,22,18948
31,2024-06-30 00:00:00+00:00,22,2142215
32,2024-07-31 00:00:00+00:00,18,61650
33,2024-08-31 00:00:00+00:00,16,140825
34,2024-09-30 00:00:00+00:00,18,274677
35,2024-10-31 00:00:00+00:00,18,38745
36,2024-11-30 00:00:00+00:00,20,35299
37,2024-12-31 00:00:00+00:00,23,114788
38,2025-01-31 00:00:00+00:00,25,164935
39,2025-02-28 00:00:00+00:00,22,23420
40,2025-03-31 00:00:00+00:00,23,77872
41,2025-04-30 00:00:00+00:00,32,51310
42,2025-05-31 00:00:00+00:00,22,121974
43,2025-06-30 00:00:00+00:00,20,56781
44,2025-07-31 00:00:00+00:00,30,32728
45,2025-08-31 00:00:00+00:00,26,62873
46,2025-09-30 00:00:00+00:00,43,200864
47,2025-10-31 00:00:00+00:00,33,170368
48,2025-11-30 00:00:00+00:00,34,80667
49,2025-12-31 00:00:00+00:00,32,20585
50,2026-01-31 00:00:00+00:00,30,136186
