,date,contributors,total_changes
0,2022-10-31 00:00:00+00:00,2,4365
1,2022-11-30 00:00:00+00:00,19,27334
2,2022-12-31 00:00:00+00:00,27,42088
3,2023-01-31 00:00:00+00:00,47,53488
4,2023-02-28 00:00:00+00:00,69,47485
5,2023-03-31 00:00:00+00:00,130,157685
6,2023-04-30 00:00:00+00:00,233,331479
7,2023-05-31 00:00:00+00:00,239,123625
8,2023-06-30 00:00:00+00:00,256,385409
9,2023-07-31 00:00:00+00:00,274,1239930
10,2023-08-31 00:00:00+00:00,252,1344204
11,2023-09-30 00:00:00+00:00,192,285483
12,2023-10-31 00:00:00+00:00,230,1376755
13,2023-11-30 00:00:00+00:00,196,351902
14,2023-12-31 00:00:00+00:00,175,660814
15,2024-01-31 00:00:00+00:00,230,263589
16,2024-02-29 00:00:00+00:00,202,311164
17,2024-03-31 00:00:00+00:00,272,327629
18,2024-04-30 00:00:00+00:00,191,335105
19,2024-05-31 00:00:00+00:00,171,344273
20,2024-06-30 00:00:00+00:00,181,330711
21,2024-07-31 00:00:00+00:00,187,131954
22,2024-08-31 00:00:00+00:00,147,164663
23,2024-09-30 00:00:00+00:00,100,213370
24,2024-10-31 00:00:00+00:00,112,98941
25,2024-11-30 00:00:00+00:00,75,99267
26,2024-12-31 00:00:00+00:00,146,62360
27,2025-01-31 00:00:00+00:00,99,44622
28,2025-02-28 00:00:00+00:00,98,165676
