,date,contributors,total_changes
0,2020-01-31 00:00:00+00:00,2,135
1,2020-02-29 00:00:00+00:00,15,13941
2,2020-03-31 00:00:00+00:00,8,5452
3,2020-04-30 00:00:00+00:00,6,874
4,2020-05-31 00:00:00+00:00,6,21798
5,2020-06-30 00:00:00+00:00,11,1547
6,2020-07-31 00:00:00+00:00,5,1344
7,2020-08-31 00:00:00+00:00,4,175
8,2020-09-30 00:00:00+00:00,11,20999
9,2020-10-31 00:00:00+00:00,7,419
10,2020-11-30 00:00:00+00:00,9,4272
11,2020-12-31 00:00:00+00:00,6,3561
12,2021-01-31 00:00:00+00:00,14,3422
13,2021-02-28 00:00:00+00:00,13,2434
14,2021-03-31 00:00:00+00:00,11,9139
15,2021-04-30 00:00:00+00:00,16,11002
16,2021-05-31 00:00:00+00:00,14,62030
17,2021-06-30 00:00:00+00:00,9,1793
18,2021-07-31 00:00:00+00:00,9,1347
19,2021-08-31 00:00:00+00:00,8,4584
20,2021-09-30 00:00:00+00:00,15,2448
21,2021-10-31 00:00:00+00:00,22,4080
22,2021-11-30 00:00:00+00:00,19,53896
23,2021-12-31 00:00:00+00:00,13,2663
24,2022-01-31 00:00:00+00:00,13,7953
25,2022-02-28 00:00:00+00:00,9,1611
26,2022-03-31 00:00:00+00:00,17,8887
27,2022-04-30 00:00:00+00:00,11,3764
28,2022-05-31 00:00:00+00:00,14,1951
29,2022-06-30 00:00:00+00:00,12,5995
30,2022-07-31 00:00:00+00:00,28,13892
31,2022-08-31 00:00:00+00:00,21,9013
32,2022-09-30 00:00:00+00:00,15,5100
33,2022-10-31 00:00:00+00:00,20,12888
34,2022-11-30 00:00:00+00:00,19,8188
35,2022-12-31 00:00:00+00:00,20,8108
36,2023-01-31 00:00:00+00:00,22,8597
37,2023-02-28 00:00:00+00:00,17,3557
38,2023-03-31 00:00:00+00:00,22,23830
39,2023-04-30 00:00:00+00:00,38,9672
40,2023-05-31 00:00:00+00:00,36,8458
41,2023-06-30 00:00:00+00:00,37,6948
42,2023-07-31 00:00:00+00:00,40,5700
43,2023-08-31 00:00:00+00:00,33,4129
44,2023-09-30 00:00:00+00:00,30,20990
45,2023-10-31 00:00:00+00:00,33,4274
46,2023-11-30 00:00:00+00:00,28,36014
47,2023-12-31 00:00:00+00:00,23,3244
48,2024-01-31 00:00:00+00:00,34,6768
49,2024-02-29 00:00:00+00:00,27,3754
50,2024-03-31 00:00:00+00:00,22,5245
51,2024-04-30 00:00:00+00:00,30,5227
52,2024-05-31 00:00:00+00:00,21,3113
53,2024-06-30 00:00:00+00:00,23,2896
54,2024-07-31 00:00:00+00:00,27,1793
55,2024-08-31 00:00:00+00:00,31,6882
56,2024-09-30 00:00:00+00:00,16,3166
57,2024-10-31 00:00:00+00:00,23,3648
58,2024-11-30 00:00:00+00:00,22,2791
59,2024-12-31 00:00:00+00:00,22,3059
60,2025-01-31 00:00:00+00:00,18,1494
61,2025-02-28 00:00:00+00:00,18,4140
62,2025-03-31 00:00:00+00:00,14,2703
63,2025-04-30 00:00:00+00:00,14,6223
64,2025-05-31 00:00:00+00:00,16,3871
65,2025-06-30 00:00:00+00:00,20,7763
66,2025-07-31 00:00:00+00:00,10,1523
67,2025-08-31 00:00:00+00:00,18,5600
68,2025-09-30 00:00:00+00:00,20,2828
69,2025-10-31 00:00:00+00:00,16,3466
70,2025-11-30 00:00:00+00:00,9,2295
71,2025-12-31 00:00:00+00:00,12,1590
72,2026-01-31 00:00:00+00:00,11,2302
