,date,contributors,total_changes
0,2018-06-30 00:00:00+00:00,20,55244
1,2018-07-31 00:00:00+00:00,20,9533
2,2018-08-31 00:00:00+00:00,23,77271
3,2018-09-30 00:00:00+00:00,20,42057
4,2018-10-31 00:00:00+00:00,17,24386
5,2018-11-30 00:00:00+00:00,15,13093
6,2018-12-31 00:00:00+00:00,13,22698
7,2019-01-31 00:00:00+00:00,17,11326
8,2019-02-28 00:00:00+00:00,14,7116
9,2019-03-31 00:00:00+00:00,15,71208
10,2019-04-30 00:00:00+00:00,21,13305
11,2019-05-31 00:00:00+00:00,26,40338
12,2019-06-30 00:00:00+00:00,27,8220
13,2019-07-31 00:00:00+00:00,18,31981
14,2019-08-31 00:00:00+00:00,17,1790
15,2019-09-30 00:00:00+00:00,25,5923
16,2019-10-31 00:00:00+00:00,19,43132
17,2019-11-30 00:00:00+00:00,27,11983
18,2019-12-31 00:00:00+00:00,17,4056
19,2020-01-31 00:00:00+00:00,25,7043
20,2020-02-29 00:00:00+00:00,14,28160
21,2020-03-31 00:00:00+00:00,24,7860
22,2020-04-30 00:00:00+00:00,41,49432
23,2020-05-31 00:00:00+00:00,22,3803
24,2020-06-30 00:00:00+00:00,20,16762
25,2020-07-31 00:00:00+00:00,25,41101
26,2020-08-31 00:00:00+00:00,21,39172
27,2020-09-30 00:00:00+00:00,17,3371
28,2020-10-31 00:00:00+00:00,23,8653
29,2020-11-30 00:00:00+00:00,20,6785
30,2020-12-31 00:00:00+00:00,19,16487
31,2021-01-31 00:00:00+00:00,18,2187
32,2021-02-28 00:00:00+00:00,21,6376
33,2021-03-31 00:00:00+00:00,12,5794
34,2021-04-30 00:00:00+00:00,10,5757
35,2021-05-31 00:00:00+00:00,11,3121
36,2021-06-30 00:00:00+00:00,20,20124
37,2021-07-31 00:00:00+00:00,13,8320
38,2021-08-31 00:00:00+00:00,16,13632
39,2021-09-30 00:00:00+00:00,19,5562
40,2021-10-31 00:00:00+00:00,16,340846
41,2021-11-30 00:00:00+00:00,23,695963
42,2021-12-31 00:00:00+00:00,20,5524
43,2022-01-31 00:00:00+00:00,16,748309
44,2022-02-28 00:00:00+00:00,22,715469
45,2022-03-31 00:00:00+00:00,24,8521
46,2022-04-30 00:00:00+00:00,43,764048
47,2022-05-31 00:00:00+00:00,37,780901
48,2022-06-30 00:00:00+00:00,33,785973
49,2022-07-31 00:00:00+00:00,29,403978
50,2022-08-31 00:00:00+00:00,37,16955
51,2022-09-30 00:00:00+00:00,34,21335
52,2022-10-31 00:00:00+00:00,33,48919
53,2022-11-30 00:00:00+00:00,21,25125
54,2022-12-31 00:00:00+00:00,31,36528
55,2023-01-31 00:00:00+00:00,24,10286
56,2023-02-28 00:00:00+00:00,22,22142
57,2023-03-31 00:00:00+00:00,34,30607
58,2023-04-30 00:00:00+00:00,21,193385
59,2023-05-31 00:00:00+00:00,30,146880
60,2023-06-30 00:00:00+00:00,25,81912
61,2023-07-31 00:00:00+00:00,27,29776
62,2023-08-31 00:00:00+00:00,47,25443
63,2023-09-30 00:00:00+00:00,29,42256
64,2023-10-31 00:00:00+00:00,59,87365
65,2023-11-30 00:00:00+00:00,26,21796
66,2023-12-31 00:00:00+00:00,28,144107
67,2024-01-31 00:00:00+00:00,32,76856
68,2024-02-29 00:00:00+00:00,33,72582
69,2024-03-31 00:00:00+00:00,29,12860
70,2024-04-30 00:00:00+00:00,27,11533
71,2024-05-31 00:00:00+00:00,29,100683
72,2024-06-30 00:00:00+00:00,25,26508
73,2024-07-31 00:00:00+00:00,31,141820
74,2024-08-31 00:00:00+00:00,24,50128
75,2024-09-30 00:00:00+00:00,27,16084
76,2024-10-31 00:00:00+00:00,30,31968
77,2024-11-30 00:00:00+00:00,26,78956
78,2024-12-31 00:00:00+00:00,29,17363
79,2025-01-31 00:00:00+00:00,22,142829
80,2025-02-28 00:00:00+00:00,26,193647
81,2025-03-31 00:00:00+00:00,21,91358
82,2025-04-30 00:00:00+00:00,27,341875
83,2025-05-31 00:00:00+00:00,29,143699
84,2025-06-30 00:00:00+00:00,27,119444
85,2025-07-31 00:00:00+00:00,33,346697
86,2025-08-31 00:00:00+00:00,35,357415
87,2025-09-30 00:00:00+00:00,22,150600
88,2025-10-31 00:00:00+00:00,35,120877
89,2025-11-30 00:00:00+00:00,36,138163
90,2025-12-31 00:00:00+00:00,46,218021
91,2026-01-31 00:00:00+00:00,36,187346
