,date,contributors,total_changes
0,2012-01-31 00:00:00+00:00,2,31588.0
1,2012-02-29 00:00:00+00:00,4,6741.0
2,2012-03-31 00:00:00+00:00,4,3126.0
3,2012-04-30 00:00:00+00:00,4,219.0
4,2012-05-31 00:00:00+00:00,2,315.0
5,2012-06-30 00:00:00+00:00,1,173.0
6,2012-07-31 00:00:00+00:00,3,84.0
7,2012-08-31 00:00:00+00:00,3,2621.0
8,2012-09-30 00:00:00+00:00,5,1513.0
9,2012-10-31 00:00:00+00:00,4,78.0
10,2012-11-30 00:00:00+00:00,2,6.0
11,2012-12-31 00:00:00+00:00,5,189.0
12,2013-01-31 00:00:00+00:00,3,98.0
13,2013-02-28 00:00:00+00:00,3,280.0
14,2013-03-31 00:00:00+00:00,3,40.0
15,2013-04-30 00:00:00+00:00,2,1220.0
16,2013-05-31 00:00:00+00:00,1,809.0
17,2013-06-30 00:00:00+00:00,3,767.0
18,2013-07-31 00:00:00+00:00,2,900.0
19,2013-08-31 00:00:00+00:00,2,450.0
20,2013-09-30 00:00:00+00:00,3,9.0
21,2013-10-31 00:00:00+00:00,5,2596.0
22,2013-11-30 00:00:00+00:00,2,3716.0
23,2013-12-31 00:00:00+00:00,1,4.0
24,2014-01-31 00:00:00+00:00,1,21.0
25,2014-02-28 00:00:00+00:00,3,8939.0
26,2014-03-31 00:00:00+00:00,4,1173.0
27,2014-04-30 00:00:00+00:00,6,34959.0
28,2014-05-31 00:00:00+00:00,3,9.0
29,2014-06-30 00:00:00+00:00,5,801.0
30,2014-07-31 00:00:00+00:00,3,85.0
31,2014-08-31 00:00:00+00:00,2,30.0
32,2014-09-30 00:00:00+00:00,3,238.0
33,2014-10-31 00:00:00+00:00,6,829.0
34,2014-11-30 00:00:00+00:00,5,1252.0
35,2014-12-31 00:00:00+00:00,3,1072.0
36,2015-01-31 00:00:00+00:00,6,4115.0
37,2015-02-28 00:00:00+00:00,4,464.0
38,2015-03-31 00:00:00+00:00,4,6336.0
39,2015-04-30 00:00:00+00:00,8,2000.0
40,2015-05-31 00:00:00+00:00,10,3360.0
41,2015-06-30 00:00:00+00:00,9,55832.0
42,2015-07-31 00:00:00+00:00,15,5442.0
43,2015-08-31 00:00:00+00:00,8,4395.0
44,2015-09-30 00:00:00+00:00,7,5273.0
45,2015-10-31 00:00:00+00:00,10,164922.0
46,2015-11-30 00:00:00+00:00,11,11771.0
47,2015-12-31 00:00:00+00:00,13,18462.0
48,2016-01-31 00:00:00+00:00,13,25063.0
49,2016-02-29 00:00:00+00:00,22,19855.0
50,2016-03-31 00:00:00+00:00,23,9446.0
51,2016-04-30 00:00:00+00:00,18,2418.0
52,2016-05-31 00:00:00+00:00,13,28157.0
53,2016-06-30 00:00:00+00:00,14,20125.0
54,2016-07-31 00:00:00+00:00,12,57207.0
55,2016-08-31 00:00:00+00:00,13,47069.0
56,2016-09-30 00:00:00+00:00,16,238591.0
57,2016-10-31 00:00:00+00:00,18,49860.0
58,2016-11-30 00:00:00+00:00,48,69461.0
59,2016-12-31 00:00:00+00:00,52,200442.0
