,date,contributors,total_changes
0,2016-02-29 00:00:00+00:00,2,2415
1,2016-03-31 00:00:00+00:00,2,6512
2,2016-04-30 00:00:00+00:00,2,4484
3,2016-05-31 00:00:00+00:00,3,663
4,2016-06-30 00:00:00+00:00,6,16691
5,2016-07-31 00:00:00+00:00,6,16412
6,2016-08-31 00:00:00+00:00,5,12093
7,2016-09-30 00:00:00+00:00,6,25291
8,2016-10-31 00:00:00+00:00,6,30966
9,2016-11-30 00:00:00+00:00,7,23121
10,2016-12-31 00:00:00+00:00,8,23276
11,2017-01-31 00:00:00+00:00,7,11025
12,2017-02-28 00:00:00+00:00,6,16907
13,2017-03-31 00:00:00+00:00,7,22620
14,2017-04-30 00:00:00+00:00,7,6906
15,2017-05-31 00:00:00+00:00,11,19265
16,2017-06-30 00:00:00+00:00,7,6687
17,2017-07-31 00:00:00+00:00,6,43733
18,2017-08-31 00:00:00+00:00,11,14789
19,2017-09-30 00:00:00+00:00,12,6802
20,2017-10-31 00:00:00+00:00,9,9249
21,2017-11-30 00:00:00+00:00,10,15470
22,2017-12-31 00:00:00+00:00,11,15828
23,2018-01-31 00:00:00+00:00,14,14053
24,2018-02-28 00:00:00+00:00,16,10321
25,2018-03-31 00:00:00+00:00,17,20431
26,2018-04-30 00:00:00+00:00,18,32602
27,2018-05-31 00:00:00+00:00,32,40361
28,2018-06-30 00:00:00+00:00,23,37779
29,2018-07-31 00:00:00+00:00,20,38473
30,2018-08-31 00:00:00+00:00,26,38595
31,2018-09-30 00:00:00+00:00,19,26961
32,2018-10-31 00:00:00+00:00,18,57453
33,2018-11-30 00:00:00+00:00,21,12418
34,2018-12-31 00:00:00+00:00,24,19149
35,2019-01-31 00:00:00+00:00,25,21344
36,2019-02-28 00:00:00+00:00,39,24947
37,2019-03-31 00:00:00+00:00,33,29086
38,2019-04-30 00:00:00+00:00,38,16527
39,2019-05-31 00:00:00+00:00,23,18249
40,2019-06-30 00:00:00+00:00,21,21798
41,2019-07-31 00:00:00+00:00,34,34509
42,2019-08-31 00:00:00+00:00,35,38899
43,2019-09-30 00:00:00+00:00,23,35896
44,2019-10-31 00:00:00+00:00,25,24141
45,2019-11-30 00:00:00+00:00,26,44768
46,2019-12-31 00:00:00+00:00,41,61114
47,2020-01-31 00:00:00+00:00,46,34872
48,2020-02-29 00:00:00+00:00,37,62315
49,2020-03-31 00:00:00+00:00,41,81261
50,2020-04-30 00:00:00+00:00,49,77958
51,2020-05-31 00:00:00+00:00,44,53639
52,2020-06-30 00:00:00+00:00,51,73771
53,2020-07-31 00:00:00+00:00,60,71158
54,2020-08-31 00:00:00+00:00,60,70022
55,2020-09-30 00:00:00+00:00,57,164415
56,2020-10-31 00:00:00+00:00,58,39316
57,2020-11-30 00:00:00+00:00,60,77456
58,2020-12-31 00:00:00+00:00,50,98941
59,2021-01-31 00:00:00+00:00,56,50720
60,2021-02-28 00:00:00+00:00,59,43660
61,2021-03-31 00:00:00+00:00,60,79610
62,2021-04-30 00:00:00+00:00,52,32888
63,2021-05-31 00:00:00+00:00,55,40282
64,2021-06-30 00:00:00+00:00,61,59566
65,2021-07-31 00:00:00+00:00,71,66712
66,2021-08-31 00:00:00+00:00,73,70099
67,2021-09-30 00:00:00+00:00,51,75579
68,2021-10-31 00:00:00+00:00,64,111526
69,2021-11-30 00:00:00+00:00,65,88674
70,2021-12-31 00:00:00+00:00,63,44468
71,2022-01-31 00:00:00+00:00,68,252913
72,2022-02-28 00:00:00+00:00,59,96494
73,2022-03-31 00:00:00+00:00,73,132220
74,2022-04-30 00:00:00+00:00,79,94711
75,2022-05-31 00:00:00+00:00,71,113344
76,2022-06-30 00:00:00+00:00,77,168022
77,2022-07-31 00:00:00+00:00,81,135332
78,2022-08-31 00:00:00+00:00,68,82329
79,2022-09-30 00:00:00+00:00,72,56533
80,2022-10-31 00:00:00+00:00,64,104642
81,2022-11-30 00:00:00+00:00,56,150897
82,2022-12-31 00:00:00+00:00,57,57668
83,2023-01-31 00:00:00+00:00,71,67509
84,2023-02-28 00:00:00+00:00,60,67804
85,2023-03-31 00:00:00+00:00,67,108726
86,2023-04-30 00:00:00+00:00,62,111216
87,2023-05-31 00:00:00+00:00,57,130191
