,date,contributors,total_changes
0,2010-01-31 00:00:00+00:00,2,185517
1,2010-02-28 00:00:00+00:00,2,2401
2,2010-03-31 00:00:00+00:00,7,85452
3,2010-04-30 00:00:00+00:00,6,77449
4,2010-05-31 00:00:00+00:00,7,93780
5,2010-06-30 00:00:00+00:00,8,63506
6,2010-07-31 00:00:00+00:00,9,33940
7,2010-08-31 00:00:00+00:00,8,36358
8,2010-09-30 00:00:00+00:00,13,52474
9,2010-10-31 00:00:00+00:00,11,155355
10,2010-11-30 00:00:00+00:00,15,102835
11,2010-12-31 00:00:00+00:00,14,27858
12,2011-01-31 00:00:00+00:00,18,12830
13,2011-02-28 00:00:00+00:00,11,34077
14,2011-03-31 00:00:00+00:00,14,34208
15,2011-04-30 00:00:00+00:00,32,60459
16,2011-05-31 00:00:00+00:00,25,30679
17,2011-06-30 00:00:00+00:00,19,44444
18,2011-07-31 00:00:00+00:00,27,53128
19,2011-08-31 00:00:00+00:00,29,92648
20,2011-09-30 00:00:00+00:00,27,199868
21,2011-10-31 00:00:00+00:00,22,49051
22,2011-11-30 00:00:00+00:00,21,66302
23,2011-12-31 00:00:00+00:00,26,59403
24,2012-01-31 00:00:00+00:00,26,101831
25,2012-02-29 00:00:00+00:00,29,78502
26,2012-03-31 00:00:00+00:00,27,47720
27,2012-04-30 00:00:00+00:00,21,17527
28,2012-05-31 00:00:00+00:00,26,21715
29,2012-06-30 00:00:00+00:00,20,60425
30,2012-07-31 00:00:00+00:00,24,117995
31,2012-08-31 00:00:00+00:00,27,31212
32,2012-09-30 00:00:00+00:00,27,55811
33,2012-10-31 00:00:00+00:00,35,76210
34,2012-11-30 00:00:00+00:00,36,63926
35,2012-12-31 00:00:00+00:00,28,59303
36,2013-01-31 00:00:00+00:00,34,93820
37,2013-02-28 00:00:00+00:00,24,36306
38,2013-03-31 00:00:00+00:00,29,198101
39,2013-04-30 00:00:00+00:00,36,93829
40,2013-05-31 00:00:00+00:00,30,52777
41,2013-06-30 00:00:00+00:00,33,59553
42,2013-07-31 00:00:00+00:00,41,505126
43,2013-08-31 00:00:00+00:00,31,10091
44,2013-09-30 00:00:00+00:00,28,51210
45,2013-10-31 00:00:00+00:00,31,24724
46,2013-11-30 00:00:00+00:00,25,100272
47,2013-12-31 00:00:00+00:00,26,28146
48,2014-01-31 00:00:00+00:00,37,110392
49,2014-02-28 00:00:00+00:00,39,149081
50,2014-03-31 00:00:00+00:00,33,115576
51,2014-04-30 00:00:00+00:00,34,70000
52,2014-05-31 00:00:00+00:00,37,20697
53,2014-06-30 00:00:00+00:00,34,48628
54,2014-07-31 00:00:00+00:00,43,74320
55,2014-08-31 00:00:00+00:00,31,23549
56,2014-09-30 00:00:00+00:00,40,98849
57,2014-10-31 00:00:00+00:00,34,29672
58,2014-11-30 00:00:00+00:00,40,59217
59,2014-12-31 00:00:00+00:00,37,7664
60,2015-01-31 00:00:00+00:00,49,56099
61,2015-02-28 00:00:00+00:00,35,65651
62,2015-03-31 00:00:00+00:00,35,62814
63,2015-04-30 00:00:00+00:00,44,20275
64,2015-05-31 00:00:00+00:00,33,29550
65,2015-06-30 00:00:00+00:00,35,36524
66,2015-07-31 00:00:00+00:00,47,30928
67,2015-08-31 00:00:00+00:00,37,31839
68,2015-09-30 00:00:00+00:00,40,164445
69,2015-10-31 00:00:00+00:00,67,570385
70,2015-11-30 00:00:00+00:00,66,14999
71,2015-12-31 00:00:00+00:00,39,1539
72,2016-01-31 00:00:00+00:00,35,8333
73,2016-02-29 00:00:00+00:00,37,1924
74,2016-03-31 00:00:00+00:00,33,875
75,2016-04-30 00:00:00+00:00,48,4898
76,2016-05-31 00:00:00+00:00,32,1987
77,2016-06-30 00:00:00+00:00,36,2761
78,2016-07-31 00:00:00+00:00,46,5272
79,2016-08-31 00:00:00+00:00,46,8435
80,2016-09-30 00:00:00+00:00,53,9987
81,2016-10-31 00:00:00+00:00,74,5048
82,2016-11-30 00:00:00+00:00,33,4136
83,2016-12-31 00:00:00+00:00,43,6763
84,2017-01-31 00:00:00+00:00,27,2287
85,2017-02-28 00:00:00+00:00,39,2709
86,2017-03-31 00:00:00+00:00,49,3920
87,2017-04-30 00:00:00+00:00,28,2572
88,2017-05-31 00:00:00+00:00,31,1444
89,2017-06-30 00:00:00+00:00,66,16588
90,2017-07-31 00:00:00+00:00,39,19120
91,2017-08-31 00:00:00+00:00,32,2888
