,date,contributors,total_changes
0,2015-11-30 00:00:00+00:00,11,474026
1,2015-12-31 00:00:00+00:00,45,42807
2,2016-01-31 00:00:00+00:00,68,202554
3,2016-02-29 00:00:00+00:00,84,157244
4,2016-03-31 00:00:00+00:00,85,184927
5,2016-04-30 00:00:00+00:00,85,125365
6,2016-05-31 00:00:00+00:00,86,1820659
7,2016-06-30 00:00:00+00:00,104,165732
8,2016-07-31 00:00:00+00:00,103,139923
9,2016-08-31 00:00:00+00:00,120,265949
10,2016-09-30 00:00:00+00:00,131,332120
11,2016-10-31 00:00:00+00:00,126,249087
12,2016-11-30 00:00:00+00:00,143,219075
13,2016-12-31 00:00:00+00:00,121,318145
14,2017-01-31 00:00:00+00:00,131,354539
15,2017-02-28 00:00:00+00:00,151,473206
16,2017-03-31 00:00:00+00:00,202,214099
17,2017-04-30 00:00:00+00:00,148,242953
18,2017-05-31 00:00:00+00:00,184,3031191
19,2017-06-30 00:00:00+00:00,177,1715771
20,2017-07-31 00:00:00+00:00,156,217492
21,2017-08-31 00:00:00+00:00,162,202676
22,2017-09-30 00:00:00+00:00,159,264610
23,2017-10-31 00:00:00+00:00,160,229099
24,2017-11-30 00:00:00+00:00,206,461738
25,2017-12-31 00:00:00+00:00,192,262111
26,2018-01-31 00:00:00+00:00,227,740001
27,2018-02-28 00:00:00+00:00,192,195577
28,2018-03-31 00:00:00+00:00,231,313387
29,2018-04-30 00:00:00+00:00,225,244239
30,2018-05-31 00:00:00+00:00,194,241144
31,2018-06-30 00:00:00+00:00,231,274659
32,2018-07-31 00:00:00+00:00,230,317416
33,2018-08-31 00:00:00+00:00,224,427691
34,2018-09-30 00:00:00+00:00,209,241463
35,2018-10-31 00:00:00+00:00,231,523441
36,2018-11-30 00:00:00+00:00,220,583708
37,2018-12-31 00:00:00+00:00,207,348657
38,2019-01-31 00:00:00+00:00,229,341592
39,2019-02-28 00:00:00+00:00,248,413114
40,2019-03-31 00:00:00+00:00,275,474295
41,2019-04-30 00:00:00+00:00,279,1719160
42,2019-05-31 00:00:00+00:00,257,3829879
43,2019-06-30 00:00:00+00:00,250,2416986
44,2019-07-31 00:00:00+00:00,265,1313794
45,2019-08-31 00:00:00+00:00,278,416893
46,2019-09-30 00:00:00+00:00,264,728412
47,2019-10-31 00:00:00+00:00,284,309069
48,2019-11-30 00:00:00+00:00,268,236687
49,2019-12-31 00:00:00+00:00,263,487870
50,2020-01-31 00:00:00+00:00,278,233079
51,2020-02-29 00:00:00+00:00,280,445046
52,2020-03-31 00:00:00+00:00,269,386524
53,2020-04-30 00:00:00+00:00,276,472649
54,2020-05-31 00:00:00+00:00,260,308209
55,2020-06-30 00:00:00+00:00,301,435783
56,2020-07-31 00:00:00+00:00,268,394243
57,2020-08-31 00:00:00+00:00,290,285411
58,2020-09-30 00:00:00+00:00,248,263372
59,2020-10-31 00:00:00+00:00,266,213670
60,2020-11-30 00:00:00+00:00,244,421369
61,2020-12-31 00:00:00+00:00,220,390251
62,2021-01-31 00:00:00+00:00,248,491899
63,2021-02-28 00:00:00+00:00,236,193931
64,2021-03-31 00:00:00+00:00,264,782693
65,2021-04-30 00:00:00+00:00,243,188892
66,2021-05-31 00:00:00+00:00,234,298594
67,2021-06-30 00:00:00+00:00,230,386533
68,2021-07-31 00:00:00+00:00,227,681104
69,2021-08-31 00:00:00+00:00,232,326314
70,2021-09-30 00:00:00+00:00,204,227263
