,date,contributors,total_changes
0,2014-12-31 00:00:00+00:00,1,1814
1,2015-01-31 00:00:00+00:00,3,9875
2,2015-02-28 00:00:00+00:00,5,12705
3,2015-03-31 00:00:00+00:00,9,17951
4,2015-04-30 00:00:00+00:00,4,12960
5,2015-05-31 00:00:00+00:00,5,10898
6,2015-06-30 00:00:00+00:00,9,13724
7,2015-07-31 00:00:00+00:00,11,8105
8,2015-08-31 00:00:00+00:00,12,14173
9,2015-09-30 00:00:00+00:00,10,7698
10,2015-10-31 00:00:00+00:00,6,5209
11,2015-11-30 00:00:00+00:00,7,2292
12,2015-12-31 00:00:00+00:00,8,2937
13,2016-01-31 00:00:00+00:00,4,3602
14,2016-02-29 00:00:00+00:00,7,7598
15,2016-03-31 00:00:00+00:00,10,2053
16,2016-04-30 00:00:00+00:00,10,13770
17,2016-05-31 00:00:00+00:00,4,1971
18,2016-06-30 00:00:00+00:00,16,6664
19,2016-07-31 00:00:00+00:00,11,3090
20,2016-08-31 00:00:00+00:00,13,7343
21,2016-09-30 00:00:00+00:00,8,4498
22,2016-10-31 00:00:00+00:00,10,17885
23,2016-11-30 00:00:00+00:00,12,7254
24,2016-12-31 00:00:00+00:00,5,2973
25,2017-01-31 00:00:00+00:00,17,5580
26,2017-02-28 00:00:00+00:00,10,3599
27,2017-03-31 00:00:00+00:00,11,3549
28,2017-04-30 00:00:00+00:00,14,3324
29,2017-05-31 00:00:00+00:00,11,7184
30,2017-06-30 00:00:00+00:00,10,2255
31,2017-07-31 00:00:00+00:00,11,1856
32,2017-08-31 00:00:00+00:00,12,5775
33,2017-09-30 00:00:00+00:00,13,2372
34,2017-10-31 00:00:00+00:00,13,4172
35,2017-11-30 00:00:00+00:00,12,2570
36,2017-12-31 00:00:00+00:00,14,4345
37,2018-01-31 00:00:00+00:00,12,5238
38,2018-02-28 00:00:00+00:00,17,6306
39,2018-03-31 00:00:00+00:00,17,2433
40,2018-04-30 00:00:00+00:00,17,3988
41,2018-05-31 00:00:00+00:00,15,5463
42,2018-06-30 00:00:00+00:00,19,4209
43,2018-07-31 00:00:00+00:00,25,2557
44,2018-08-31 00:00:00+00:00,24,2946
45,2018-09-30 00:00:00+00:00,19,3713
46,2018-10-31 00:00:00+00:00,20,6333
47,2018-11-30 00:00:00+00:00,13,2246
48,2018-12-31 00:00:00+00:00,15,3838
49,2019-01-31 00:00:00+00:00,19,3384
50,2019-02-28 00:00:00+00:00,16,1071
51,2019-03-31 00:00:00+00:00,24,1838
52,2019-04-30 00:00:00+00:00,20,3928
53,2019-05-31 00:00:00+00:00,22,4409
54,2019-06-30 00:00:00+00:00,33,50804
55,2019-07-31 00:00:00+00:00,26,9198
56,2019-08-31 00:00:00+00:00,28,4091
57,2019-09-30 00:00:00+00:00,14,3253
58,2019-10-31 00:00:00+00:00,22,2179
59,2019-11-30 00:00:00+00:00,18,2189
60,2019-12-31 00:00:00+00:00,14,1259
61,2020-01-31 00:00:00+00:00,17,1987
62,2020-02-29 00:00:00+00:00,21,1712
63,2020-03-31 00:00:00+00:00,18,3635
64,2020-04-30 00:00:00+00:00,19,1578
65,2020-05-31 00:00:00+00:00,32,4065
66,2020-06-30 00:00:00+00:00,20,1889
67,2020-07-31 00:00:00+00:00,23,2376
68,2020-08-31 00:00:00+00:00,20,2966
69,2020-09-30 00:00:00+00:00,30,3043
70,2020-10-31 00:00:00+00:00,21,4007
71,2020-11-30 00:00:00+00:00,19,3764
72,2020-12-31 00:00:00+00:00,20,5353
73,2021-01-31 00:00:00+00:00,20,4154
