,date,contributors,total_changes
0,2005-07-31 00:00:00+00:00,2,34589
1,2005-08-31 00:00:00+00:00,1,223
2,2005-09-30 00:00:00+00:00,2,1173
3,2005-10-31 00:00:00+00:00,1,752
4,2005-11-30 00:00:00+00:00,1,798
5,2005-12-31 00:00:00+00:00,1,4988
6,2006-01-31 00:00:00+00:00,3,8950
7,2006-02-28 00:00:00+00:00,2,1194
8,2006-03-31 00:00:00+00:00,2,5606
9,2006-04-30 00:00:00+00:00,1,745
10,2006-05-31 00:00:00+00:00,3,6848
11,2006-06-30 00:00:00+00:00,3,1885
12,2006-07-31 00:00:00+00:00,2,956
13,2006-08-31 00:00:00+00:00,3,226
14,2006-09-30 00:00:00+00:00,2,390
15,2006-10-31 00:00:00+00:00,3,3448
16,2006-11-30 00:00:00+00:00,4,2242
17,2006-12-31 00:00:00+00:00,2,3377
18,2007-01-31 00:00:00+00:00,3,606
19,2007-02-28 00:00:00+00:00,3,337
20,2007-03-31 00:00:00+00:00,4,14639
21,2007-04-30 00:00:00+00:00,5,2442
22,2007-05-31 00:00:00+00:00,5,6846
23,2007-06-30 00:00:00+00:00,3,935
24,2007-07-31 00:00:00+00:00,2,512
25,2007-08-31 00:00:00+00:00,3,1659
26,2007-09-30 00:00:00+00:00,3,3508
27,2007-10-31 00:00:00+00:00,2,151
28,2007-11-30 00:00:00+00:00,4,9897
29,2007-12-31 00:00:00+00:00,3,2116
30,2008-01-31 00:00:00+00:00,4,33245
31,2008-02-29 00:00:00+00:00,7,152272
32,2008-03-31 00:00:00+00:00,5,48529
33,2008-04-30 00:00:00+00:00,4,27632
34,2008-05-31 00:00:00+00:00,4,35437
35,2008-06-30 00:00:00+00:00,8,272910
36,2008-07-31 00:00:00+00:00,9,159049
37,2008-08-31 00:00:00+00:00,11,117483
38,2008-09-30 00:00:00+00:00,6,48805
39,2008-10-31 00:00:00+00:00,3,3171
40,2008-11-30 00:00:00+00:00,4,8844
41,2008-12-31 00:00:00+00:00,2,5618
42,2009-01-31 00:00:00+00:00,1,56
43,2009-02-28 00:00:00+00:00,8,26892
44,2009-03-31 00:00:00+00:00,8,58842
45,2009-04-30 00:00:00+00:00,9,18770
46,2009-05-31 00:00:00+00:00,4,255
47,2009-06-30 00:00:00+00:00,1,5051
48,2009-07-31 00:00:00+00:00,5,112923
49,2009-08-31 00:00:00+00:00,3,206964
50,2009-09-30 00:00:00+00:00,2,98101
51,2009-10-31 00:00:00+00:00,1,8881
52,2009-11-30 00:00:00+00:00,3,8484
53,2009-12-31 00:00:00+00:00,2,122920
54,2010-01-31 00:00:00+00:00,4,169487
55,2010-02-28 00:00:00+00:00,2,2770
56,2010-03-31 00:00:00+00:00,1,2
57,2010-04-30 00:00:00+00:00,12,14475
58,2010-05-31 00:00:00+00:00,2,294
59,2010-06-30 00:00:00+00:00,1,26148
60,2010-07-31 00:00:00+00:00,6,71132
61,2010-08-31 00:00:00+00:00,4,71662
62,2010-09-30 00:00:00+00:00,6,35856
63,2010-10-31 00:00:00+00:00,10,275953
64,2010-11-30 00:00:00+00:00,8,7483
65,2010-12-31 00:00:00+00:00,6,1176
66,2011-01-31 00:00:00+00:00,8,18688
67,2011-02-28 00:00:00+00:00,13,28144
68,2011-03-31 00:00:00+00:00,9,109402
69,2011-04-30 00:00:00+00:00,12,234720
70,2011-05-31 00:00:00+00:00,18,36066
71,2011-06-30 00:00:00+00:00,12,31048
72,2011-07-31 00:00:00+00:00,23,59511
73,2011-08-31 00:00:00+00:00,18,119547
74,2011-09-30 00:00:00+00:00,24,10894
75,2011-10-31 00:00:00+00:00,23,73006
76,2011-11-30 00:00:00+00:00,15,27667
77,2011-12-31 00:00:00+00:00,22,49639
78,2012-01-31 00:00:00+00:00,21,44013
79,2012-02-29 00:00:00+00:00,21,8663
80,2012-03-31 00:00:00+00:00,26,17671
81,2012-04-30 00:00:00+00:00,20,16218
82,2012-05-31 00:00:00+00:00,30,59425
83,2012-06-30 00:00:00+00:00,30,173581
84,2012-07-31 00:00:00+00:00,23,55421
85,2012-08-31 00:00:00+00:00,29,11276
86,2012-09-30 00:00:00+00:00,22,9269
87,2012-10-31 00:00:00+00:00,20,209636
88,2012-11-30 00:00:00+00:00,22,80701
89,2012-12-31 00:00:00+00:00,25,67069
90,2013-01-31 00:00:00+00:00,32,206132
91,2013-02-28 00:00:00+00:00,27,167973
92,2013-03-31 00:00:00+00:00,18,90527
93,2013-04-30 00:00:00+00:00,31,969525
94,2013-05-31 00:00:00+00:00,25,625891
95,2013-06-30 00:00:00+00:00,29,202491
96,2013-07-31 00:00:00+00:00,34,509415
97,2013-08-31 00:00:00+00:00,34,62510
98,2013-09-30 00:00:00+00:00,30,51227
99,2013-10-31 00:00:00+00:00,24,60067
100,2013-11-30 00:00:00+00:00,16,35995
101,2013-12-31 00:00:00+00:00,25,25216
102,2014-01-31 00:00:00+00:00,29,65989
103,2014-02-28 00:00:00+00:00,26,71813
104,2014-03-31 00:00:00+00:00,24,315228
105,2014-04-30 00:00:00+00:00,44,158826
106,2014-05-31 00:00:00+00:00,24,31114
107,2014-06-30 00:00:00+00:00,24,33904
108,2014-07-31 00:00:00+00:00,29,66755
109,2014-08-31 00:00:00+00:00,25,170333
110,2014-09-30 00:00:00+00:00,31,28099
111,2014-10-31 00:00:00+00:00,30,44829
112,2014-11-30 00:00:00+00:00,26,255181
113,2014-12-31 00:00:00+00:00,29,176982
114,2015-01-31 00:00:00+00:00,29,49492
115,2015-02-28 00:00:00+00:00,24,146650
116,2015-03-31 00:00:00+00:00,31,292718
117,2015-04-30 00:00:00+00:00,16,524875
118,2015-05-31 00:00:00+00:00,14,13323
119,2015-06-30 00:00:00+00:00,8,18512
120,2015-07-31 00:00:00+00:00,10,455
121,2015-08-31 00:00:00+00:00,12,35360
122,2015-09-30 00:00:00+00:00,9,41422
123,2015-10-31 00:00:00+00:00,14,1328
124,2015-11-30 00:00:00+00:00,8,1514
125,2015-12-31 00:00:00+00:00,10,1132
126,2016-01-31 00:00:00+00:00,10,5371
127,2016-02-29 00:00:00+00:00,8,2495
128,2016-03-31 00:00:00+00:00,10,1345
129,2016-04-30 00:00:00+00:00,10,2686
130,2016-05-31 00:00:00+00:00,13,5977
131,2016-06-30 00:00:00+00:00,12,11966
132,2016-07-31 00:00:00+00:00,15,3735
133,2016-08-31 00:00:00+00:00,19,2595
134,2016-09-30 00:00:00+00:00,13,685
135,2016-10-31 00:00:00+00:00,13,6966
136,2016-11-30 00:00:00+00:00,7,2811
137,2016-12-31 00:00:00+00:00,6,1612
