,date,contributors,total_changes
0,2018-11-30 00:00:00+00:00,6,28608
1,2018-12-31 00:00:00+00:00,18,31946
2,2019-01-31 00:00:00+00:00,13,15400
3,2019-02-28 00:00:00+00:00,15,36268
4,2019-03-31 00:00:00+00:00,15,33723
5,2019-04-30 00:00:00+00:00,20,38724
6,2019-05-31 00:00:00+00:00,13,44288
7,2019-06-30 00:00:00+00:00,15,20526
8,2019-07-31 00:00:00+00:00,21,34999
9,2019-08-31 00:00:00+00:00,27,37416
10,2019-09-30 00:00:00+00:00,21,42621
11,2019-10-31 00:00:00+00:00,22,38555
12,2019-11-30 00:00:00+00:00,21,20182
13,2019-12-31 00:00:00+00:00,24,15436
14,2020-01-31 00:00:00+00:00,31,18481
15,2020-02-29 00:00:00+00:00,34,10202
16,2020-03-31 00:00:00+00:00,29,28898
17,2020-04-30 00:00:00+00:00,44,85219
18,2020-05-31 00:00:00+00:00,44,39189
19,2020-06-30 00:00:00+00:00,38,38797
20,2020-07-31 00:00:00+00:00,35,26728
21,2020-08-31 00:00:00+00:00,36,14350
22,2020-09-30 00:00:00+00:00,33,20671
23,2020-10-31 00:00:00+00:00,30,123070
24,2020-11-30 00:00:00+00:00,28,55351
25,2020-12-31 00:00:00+00:00,31,64370
26,2021-01-31 00:00:00+00:00,39,202584
27,2021-02-28 00:00:00+00:00,31,117931
28,2021-03-31 00:00:00+00:00,39,55872
29,2021-04-30 00:00:00+00:00,28,40711
30,2021-05-31 00:00:00+00:00,34,24028
31,2021-06-30 00:00:00+00:00,33,77912
32,2021-07-31 00:00:00+00:00,40,19986
33,2021-08-31 00:00:00+00:00,35,22962
34,2021-09-30 00:00:00+00:00,32,44984
35,2021-10-31 00:00:00+00:00,33,32030
36,2021-11-30 00:00:00+00:00,23,51172
37,2021-12-31 00:00:00+00:00,29,22765
38,2022-01-31 00:00:00+00:00,29,117431
39,2022-02-28 00:00:00+00:00,38,50043
40,2022-03-31 00:00:00+00:00,42,41283
41,2022-04-30 00:00:00+00:00,38,39234
42,2022-05-31 00:00:00+00:00,40,45761
43,2022-06-30 00:00:00+00:00,46,41662
44,2022-07-31 00:00:00+00:00,39,36006
45,2022-08-31 00:00:00+00:00,41,69874
46,2022-09-30 00:00:00+00:00,39,35524
47,2022-10-31 00:00:00+00:00,46,66449
48,2022-11-30 00:00:00+00:00,49,29479
49,2022-12-31 00:00:00+00:00,32,79233
50,2023-01-31 00:00:00+00:00,37,22909
51,2023-02-28 00:00:00+00:00,44,64297
52,2023-03-31 00:00:00+00:00,47,65183
53,2023-04-30 00:00:00+00:00,32,32639
54,2023-05-31 00:00:00+00:00,42,18461
55,2023-06-30 00:00:00+00:00,42,37063
56,2023-07-31 00:00:00+00:00,30,43879
57,2023-08-31 00:00:00+00:00,44,37801
58,2023-09-30 00:00:00+00:00,40,32486
59,2023-10-31 00:00:00+00:00,43,37844
60,2023-11-30 00:00:00+00:00,40,43667
61,2023-12-31 00:00:00+00:00,33,53867
62,2024-01-31 00:00:00+00:00,48,64210
63,2024-02-29 00:00:00+00:00,49,40329
64,2024-03-31 00:00:00+00:00,59,35490
65,2024-04-30 00:00:00+00:00,55,73930
66,2024-05-31 00:00:00+00:00,72,83126
67,2024-06-30 00:00:00+00:00,62,69033
68,2024-07-31 00:00:00+00:00,65,100961
69,2024-08-31 00:00:00+00:00,61,192389
70,2024-09-30 00:00:00+00:00,66,111080
71,2024-10-31 00:00:00+00:00,70,56532
72,2024-11-30 00:00:00+00:00,78,42229
73,2024-12-31 00:00:00+00:00,67,94607
74,2025-01-31 00:00:00+00:00,66,56910
75,2025-02-28 00:00:00+00:00,71,89547
76,2025-03-31 00:00:00+00:00,78,92559
77,2025-04-30 00:00:00+00:00,88,168393
78,2025-05-31 00:00:00+00:00,92,55654
79,2025-06-30 00:00:00+00:00,78,69913
80,2025-07-31 00:00:00+00:00,82,76582
81,2025-08-31 00:00:00+00:00,75,81701
82,2025-09-30 00:00:00+00:00,79,57882
83,2025-10-31 00:00:00+00:00,85,72550
84,2025-11-30 00:00:00+00:00,66,389279
85,2025-12-31 00:00:00+00:00,68,64496
86,2026-01-31 00:00:00+00:00,59,45381
