,date,contributors,total_changes
0,2022-09-30 00:00:00+00:00,8,24733
1,2022-10-31 00:00:00+00:00,8,10930
2,2022-11-30 00:00:00+00:00,8,6477
3,2022-12-31 00:00:00+00:00,3,114
4,2023-01-31 00:00:00+00:00,3,11
5,2023-02-28 00:00:00+00:00,6,286
6,2023-03-31 00:00:00+00:00,2,44
7,2023-04-30 00:00:00+00:00,1,2
8,2023-05-31 00:00:00+00:00,3,48
9,2023-06-30 00:00:00+00:00,4,62
10,2023-07-31 00:00:00+00:00,6,33411
11,2023-08-31 00:00:00+00:00,4,388
12,2023-09-30 00:00:00+00:00,0,0
13,2023-10-31 00:00:00+00:00,5,1807
14,2023-11-30 00:00:00+00:00,2,93
15,2023-12-31 00:00:00+00:00,0,0
16,2024-01-31 00:00:00+00:00,4,325
17,2024-02-29 00:00:00+00:00,4,384
18,2024-03-31 00:00:00+00:00,2,4
19,2024-04-30 00:00:00+00:00,3,812
20,2024-05-31 00:00:00+00:00,2,864
21,2024-06-30 00:00:00+00:00,2,802
22,2024-07-31 00:00:00+00:00,2,179
23,2024-08-31 00:00:00+00:00,3,67
24,2024-09-30 00:00:00+00:00,2,49
25,2024-10-31 00:00:00+00:00,0,0
26,2024-11-30 00:00:00+00:00,2,30
27,2024-12-31 00:00:00+00:00,0,0
28,2025-01-31 00:00:00+00:00,0,0
29,2025-02-28 00:00:00+00:00,1,958
30,2025-03-31 00:00:00+00:00,2,34
31,2025-04-30 00:00:00+00:00,0,0
32,2025-05-31 00:00:00+00:00,2,35
33,2025-06-30 00:00:00+00:00,0,0
34,2025-07-31 00:00:00+00:00,0,0
35,2025-08-31 00:00:00+00:00,0,0
36,2025-09-30 00:00:00+00:00,0,0
37,2025-10-31 00:00:00+00:00,0,0
38,2025-11-30 00:00:00+00:00,0,0
39,2025-12-31 00:00:00+00:00,1,55
