,date,contributors,total_changes
0,2017-11-30 00:00:00+00:00,2,577
1,2017-12-31 00:00:00+00:00,13,18509
2,2018-01-31 00:00:00+00:00,18,99504
3,2018-02-28 00:00:00+00:00,21,240569
4,2018-03-31 00:00:00+00:00,19,1193916
5,2018-04-30 00:00:00+00:00,24,3119701
6,2018-05-31 00:00:00+00:00,20,58766
7,2018-06-30 00:00:00+00:00,23,31683
8,2018-07-31 00:00:00+00:00,16,3122389
9,2018-08-31 00:00:00+00:00,24,13876
10,2018-09-30 00:00:00+00:00,20,348601
11,2018-10-31 00:00:00+00:00,24,17046
12,2018-11-30 00:00:00+00:00,20,15759
13,2018-12-31 00:00:00+00:00,21,45579
14,2019-01-31 00:00:00+00:00,29,125972
15,2019-02-28 00:00:00+00:00,27,50056
16,2019-03-31 00:00:00+00:00,27,225994
17,2019-04-30 00:00:00+00:00,28,38843
18,2019-05-31 00:00:00+00:00,27,48561
19,2019-06-30 00:00:00+00:00,25,55137
20,2019-07-31 00:00:00+00:00,16,34775
21,2019-08-31 00:00:00+00:00,17,27650
22,2019-09-30 00:00:00+00:00,17,39260
23,2019-10-31 00:00:00+00:00,26,348637
24,2019-11-30 00:00:00+00:00,12,67432
25,2019-12-31 00:00:00+00:00,6,2963
26,2020-01-31 00:00:00+00:00,11,37001
27,2020-02-29 00:00:00+00:00,14,179792
28,2020-03-31 00:00:00+00:00,10,604
29,2020-04-30 00:00:00+00:00,6,536
30,2020-05-31 00:00:00+00:00,6,170
31,2020-06-30 00:00:00+00:00,8,352
32,2020-07-31 00:00:00+00:00,7,1426
33,2020-08-31 00:00:00+00:00,11,81967
34,2020-09-30 00:00:00+00:00,3,1442
35,2020-10-31 00:00:00+00:00,2,17737
36,2020-11-30 00:00:00+00:00,8,551101
37,2020-12-31 00:00:00+00:00,3,4535
38,2021-01-31 00:00:00+00:00,7,1846
39,2021-02-28 00:00:00+00:00,4,858
40,2021-03-31 00:00:00+00:00,13,498588
41,2021-04-30 00:00:00+00:00,5,1657
42,2021-05-31 00:00:00+00:00,4,1291
43,2021-06-30 00:00:00+00:00,9,73401
44,2021-07-31 00:00:00+00:00,4,63678
45,2021-08-31 00:00:00+00:00,5,5230
46,2021-09-30 00:00:00+00:00,5,29
47,2021-10-31 00:00:00+00:00,4,508
48,2021-11-30 00:00:00+00:00,4,394
49,2021-12-31 00:00:00+00:00,5,1939
50,2022-01-31 00:00:00+00:00,7,3154
51,2022-02-28 00:00:00+00:00,7,6018
52,2022-03-31 00:00:00+00:00,2,241
53,2022-04-30 00:00:00+00:00,1,1936
54,2022-05-31 00:00:00+00:00,5,15006
55,2022-06-30 00:00:00+00:00,9,3538
56,2022-07-31 00:00:00+00:00,11,14558
57,2022-08-31 00:00:00+00:00,5,665
58,2022-09-30 00:00:00+00:00,5,144
59,2022-10-31 00:00:00+00:00,8,2258
60,2022-11-30 00:00:00+00:00,12,39309
61,2022-12-31 00:00:00+00:00,6,25872
62,2023-01-31 00:00:00+00:00,10,18006
63,2023-02-28 00:00:00+00:00,10,5722
64,2023-03-31 00:00:00+00:00,11,240796
65,2023-04-30 00:00:00+00:00,2,47
66,2023-05-31 00:00:00+00:00,5,592
67,2023-06-30 00:00:00+00:00,6,7737
68,2023-07-31 00:00:00+00:00,10,1769
69,2023-08-31 00:00:00+00:00,4,766
70,2023-09-30 00:00:00+00:00,5,7588
71,2023-10-31 00:00:00+00:00,8,4307
72,2023-11-30 00:00:00+00:00,1,12
73,2023-12-31 00:00:00+00:00,5,56
74,2024-01-31 00:00:00+00:00,5,2992
75,2024-02-29 00:00:00+00:00,3,33
76,2024-03-31 00:00:00+00:00,3,29
77,2024-04-30 00:00:00+00:00,0,0
78,2024-05-31 00:00:00+00:00,8,35216
79,2024-06-30 00:00:00+00:00,2,8
80,2024-07-31 00:00:00+00:00,2,350
81,2024-08-31 00:00:00+00:00,0,0
82,2024-09-30 00:00:00+00:00,3,6118
83,2024-10-31 00:00:00+00:00,3,200
84,2024-11-30 00:00:00+00:00,3,206607
