,date,contributors,total_changes
0,2014-06-30 00:00:00+00:00,35,1057003
1,2014-07-31 00:00:00+00:00,51,162395
2,2014-08-31 00:00:00+00:00,51,1253595
3,2014-09-30 00:00:00+00:00,53,121200
4,2014-10-31 00:00:00+00:00,58,224684
5,2014-11-30 00:00:00+00:00,69,270993
6,2014-12-31 00:00:00+00:00,73,279293
7,2015-01-31 00:00:00+00:00,82,545060
8,2015-02-28 00:00:00+00:00,121,498076
9,2015-03-31 00:00:00+00:00,128,741752
10,2015-04-30 00:00:00+00:00,142,1168768
11,2015-05-31 00:00:00+00:00,139,1066021
12,2015-06-30 00:00:00+00:00,143,1213995
13,2015-07-31 00:00:00+00:00,146,1498109
14,2015-08-31 00:00:00+00:00,175,1377841
15,2015-09-30 00:00:00+00:00,158,846274
16,2015-10-31 00:00:00+00:00,137,2124104
17,2015-11-30 00:00:00+00:00,158,724059
18,2015-12-31 00:00:00+00:00,132,905572
19,2016-01-31 00:00:00+00:00,130,1725489
20,2016-02-29 00:00:00+00:00,153,1660642
21,2016-03-31 00:00:00+00:00,158,699912
22,2016-04-30 00:00:00+00:00,153,1007834
23,2016-05-31 00:00:00+00:00,175,5133682
24,2016-06-30 00:00:00+00:00,165,547208
25,2016-07-31 00:00:00+00:00,176,1310874
26,2016-08-31 00:00:00+00:00,194,4030865
27,2016-09-30 00:00:00+00:00,181,3793231
28,2016-10-31 00:00:00+00:00,196,4708866
29,2016-11-30 00:00:00+00:00,188,3606767
30,2016-12-31 00:00:00+00:00,176,1750576
31,2017-01-31 00:00:00+00:00,187,2708728
32,2017-02-28 00:00:00+00:00,205,1866722
33,2017-03-31 00:00:00+00:00,199,771203
34,2017-04-30 00:00:00+00:00,199,1936347
35,2017-05-31 00:00:00+00:00,238,1470011
36,2017-06-30 00:00:00+00:00,225,2835209
37,2017-07-31 00:00:00+00:00,215,1794025
38,2017-08-31 00:00:00+00:00,250,1711772
39,2017-09-30 00:00:00+00:00,220,2126732
40,2017-10-31 00:00:00+00:00,234,966576
41,2017-11-30 00:00:00+00:00,235,1444295
42,2017-12-31 00:00:00+00:00,181,819615
