,date,contributors,total_changes
0,2021-11-30 00:00:00+00:00,1,11835
1,2021-12-31 00:00:00+00:00,0,0
2,2022-01-31 00:00:00+00:00,2,2202
3,2022-02-28 00:00:00+00:00,9,49180
4,2022-03-31 00:00:00+00:00,7,29066
5,2022-04-30 00:00:00+00:00,9,55053
6,2022-05-31 00:00:00+00:00,9,5153
7,2022-06-30 00:00:00+00:00,3,2033
8,2022-07-31 00:00:00+00:00,5,9221
9,2022-08-31 00:00:00+00:00,7,63747
10,2022-09-30 00:00:00+00:00,8,3913
11,2022-10-31 00:00:00+00:00,8,1643
12,2022-11-30 00:00:00+00:00,10,7603
13,2022-12-31 00:00:00+00:00,11,14759
14,2023-01-31 00:00:00+00:00,9,97644
15,2023-02-28 00:00:00+00:00,13,22112
16,2023-03-31 00:00:00+00:00,10,62857
17,2023-04-30 00:00:00+00:00,13,8224
18,2023-05-31 00:00:00+00:00,16,33138
19,2023-06-30 00:00:00+00:00,12,26868
20,2023-07-31 00:00:00+00:00,16,48427
21,2023-08-31 00:00:00+00:00,11,41542
22,2023-09-30 00:00:00+00:00,19,70993
23,2023-10-31 00:00:00+00:00,20,23011
24,2023-11-30 00:00:00+00:00,13,17816
25,2023-12-31 00:00:00+00:00,22,11147
26,2024-01-31 00:00:00+00:00,15,23957
27,2024-02-29 00:00:00+00:00,21,27439
28,2024-03-31 00:00:00+00:00,20,18307
29,2024-04-30 00:00:00+00:00,28,25540
30,2024-05-31 00:00:00+00:00,22,19070
31,2024-06-30 00:00:00+00:00,22,2142707
32,2024-07-31 00:00:00+00:00,18,62666
33,2024-08-31 00:00:00+00:00,16,141149
34,2024-09-30 00:00:00+00:00,18,381431
35,2024-10-31 00:00:00+00:00,18,43751
36,2024-11-30 00:00:00+00:00,20,35923
37,2024-12-31 00:00:00+00:00,23,115540
38,2025-01-31 00:00:00+00:00,25,237341
39,2025-02-28 00:00:00+00:00,22,23566
40,2025-03-31 00:00:00+00:00,23,92260
41,2025-04-30 00:00:00+00:00,32,56608
42,2025-05-31 00:00:00+00:00,22,125220
43,2025-06-30 00:00:00+00:00,20,100479
44,2025-07-31 00:00:00+00:00,30,33634
45,2025-08-31 00:00:00+00:00,26,107173
46,2025-09-30 00:00:00+00:00,43,233996
47,2025-10-31 00:00:00+00:00,33,174484
48,2025-11-30 00:00:00+00:00,34,89553
49,2025-12-31 00:00:00+00:00,32,21291
50,2026-01-31 00:00:00+00:00,31,148900
