,date,contributors,total_changes
0,2024-03-31 00:00:00+00:00,2,4454
1,2024-04-30 00:00:00+00:00,7,15052
2,2024-05-31 00:00:00+00:00,8,3444
3,2024-06-30 00:00:00+00:00,5,8505
4,2024-07-31 00:00:00+00:00,7,5374
5,2024-08-31 00:00:00+00:00,6,3720
6,2024-09-30 00:00:00+00:00,6,2848
7,2024-10-31 00:00:00+00:00,10,2958
8,2024-11-30 00:00:00+00:00,4,1396
9,2024-12-31 00:00:00+00:00,7,2750
10,2025-01-31 00:00:00+00:00,6,1176
11,2025-02-28 00:00:00+00:00,16,11835
12,2025-03-31 00:00:00+00:00,12,5303
13,2025-04-30 00:00:00+00:00,6,1877
14,2025-05-31 00:00:00+00:00,4,86
