,date,contributors,total_changes
0,2020-01-31 00:00:00+00:00,2,135
1,2020-02-29 00:00:00+00:00,15,13941
2,2020-03-31 00:00:00+00:00,8,6776
3,2020-04-30 00:00:00+00:00,6,874
4,2020-05-31 00:00:00+00:00,6,21878
5,2020-06-30 00:00:00+00:00,11,1547
6,2020-07-31 00:00:00+00:00,5,1344
7,2020-08-31 00:00:00+00:00,4,175
8,2020-09-30 00:00:00+00:00,11,40631
9,2020-10-31 00:00:00+00:00,7,419
10,2020-11-30 00:00:00+00:00,9,4274
11,2020-12-31 00:00:00+00:00,6,3561
12,2021-01-31 00:00:00+00:00,14,3422
13,2021-02-28 00:00:00+00:00,13,2722
14,2021-03-31 00:00:00+00:00,11,9805
15,2021-04-30 00:00:00+00:00,16,11002
16,2021-05-31 00:00:00+00:00,14,62152
17,2021-06-30 00:00:00+00:00,9,1793
18,2021-07-31 00:00:00+00:00,9,1347
19,2021-08-31 00:00:00+00:00,8,4584
20,2021-09-30 00:00:00+00:00,15,2448
21,2021-10-31 00:00:00+00:00,22,4288
22,2021-11-30 00:00:00+00:00,19,53898
23,2021-12-31 00:00:00+00:00,13,7223
24,2022-01-31 00:00:00+00:00,13,7981
25,2022-02-28 00:00:00+00:00,9,1611
26,2022-03-31 00:00:00+00:00,17,9121
27,2022-04-30 00:00:00+00:00,11,3764
28,2022-05-31 00:00:00+00:00,14,1951
29,2022-06-30 00:00:00+00:00,12,5995
30,2022-07-31 00:00:00+00:00,28,14640
31,2022-08-31 00:00:00+00:00,21,14617
32,2022-09-30 00:00:00+00:00,15,6830
33,2022-10-31 00:00:00+00:00,20,22920
34,2022-11-30 00:00:00+00:00,19,11876
35,2022-12-31 00:00:00+00:00,20,8108
36,2023-01-31 00:00:00+00:00,22,9625
37,2023-02-28 00:00:00+00:00,17,3673
38,2023-03-31 00:00:00+00:00,22,25374
39,2023-04-30 00:00:00+00:00,38,9796
40,2023-05-31 00:00:00+00:00,36,8584
41,2023-06-30 00:00:00+00:00,37,7108
42,2023-07-31 00:00:00+00:00,40,5700
43,2023-08-31 00:00:00+00:00,33,4365
44,2023-09-30 00:00:00+00:00,30,20990
45,2023-10-31 00:00:00+00:00,33,5802
46,2023-11-30 00:00:00+00:00,28,36022
47,2023-12-31 00:00:00+00:00,23,5230
48,2024-01-31 00:00:00+00:00,34,6768
49,2024-02-29 00:00:00+00:00,27,8112
50,2024-03-31 00:00:00+00:00,22,5343
51,2024-04-30 00:00:00+00:00,30,6433
52,2024-05-31 00:00:00+00:00,21,4653
53,2024-06-30 00:00:00+00:00,23,2896
54,2024-07-31 00:00:00+00:00,27,1793
55,2024-08-31 00:00:00+00:00,31,6882
56,2024-09-30 00:00:00+00:00,16,3166
57,2024-10-31 00:00:00+00:00,23,3730
58,2024-11-30 00:00:00+00:00,22,2801
59,2024-12-31 00:00:00+00:00,22,3059
60,2025-01-31 00:00:00+00:00,18,1374
