,date,contributors,total_changes
0,2018-06-30 00:00:00+00:00,20,55686
1,2018-07-31 00:00:00+00:00,20,10921
2,2018-08-31 00:00:00+00:00,23,95121
3,2018-09-30 00:00:00+00:00,20,71641
4,2018-10-31 00:00:00+00:00,17,24386
5,2018-11-30 00:00:00+00:00,15,13129
6,2018-12-31 00:00:00+00:00,13,29452
7,2019-01-31 00:00:00+00:00,17,11574
8,2019-02-28 00:00:00+00:00,14,7700
9,2019-03-31 00:00:00+00:00,15,71208
10,2019-04-30 00:00:00+00:00,21,13305
11,2019-05-31 00:00:00+00:00,26,41046
12,2019-06-30 00:00:00+00:00,27,9170
13,2019-07-31 00:00:00+00:00,18,33219
14,2019-08-31 00:00:00+00:00,17,1790
15,2019-09-30 00:00:00+00:00,25,5923
16,2019-10-31 00:00:00+00:00,19,62230
17,2019-11-30 00:00:00+00:00,27,59417
18,2019-12-31 00:00:00+00:00,17,4814
19,2020-01-31 00:00:00+00:00,25,7043
20,2020-02-29 00:00:00+00:00,14,28160
21,2020-03-31 00:00:00+00:00,24,40654
22,2020-04-30 00:00:00+00:00,41,49432
23,2020-05-31 00:00:00+00:00,22,3803
24,2020-06-30 00:00:00+00:00,20,16762
25,2020-07-31 00:00:00+00:00,25,41641
26,2020-08-31 00:00:00+00:00,21,40878
27,2020-09-30 00:00:00+00:00,17,3371
28,2020-10-31 00:00:00+00:00,23,12771
29,2020-11-30 00:00:00+00:00,20,6785
30,2020-12-31 00:00:00+00:00,19,17281
31,2021-01-31 00:00:00+00:00,18,2229
32,2021-02-28 00:00:00+00:00,21,6558
33,2021-03-31 00:00:00+00:00,12,12082
34,2021-04-30 00:00:00+00:00,10,8395
35,2021-05-31 00:00:00+00:00,11,3121
36,2021-06-30 00:00:00+00:00,20,20722
37,2021-07-31 00:00:00+00:00,13,8476
38,2021-08-31 00:00:00+00:00,16,13662
39,2021-09-30 00:00:00+00:00,19,6838
40,2021-10-31 00:00:00+00:00,16,340846
41,2021-11-30 00:00:00+00:00,23,707217
42,2021-12-31 00:00:00+00:00,20,5524
43,2022-01-31 00:00:00+00:00,16,748535
44,2022-02-28 00:00:00+00:00,22,715601
45,2022-03-31 00:00:00+00:00,24,11239
46,2022-04-30 00:00:00+00:00,43,764194
47,2022-05-31 00:00:00+00:00,37,780955
48,2022-06-30 00:00:00+00:00,33,785973
49,2022-07-31 00:00:00+00:00,29,404418
50,2022-08-31 00:00:00+00:00,37,17455
51,2022-09-30 00:00:00+00:00,34,21335
52,2022-10-31 00:00:00+00:00,33,51321
53,2022-11-30 00:00:00+00:00,21,49555
54,2022-12-31 00:00:00+00:00,31,37620
55,2023-01-31 00:00:00+00:00,24,10286
56,2023-02-28 00:00:00+00:00,22,22164
57,2023-03-31 00:00:00+00:00,34,44109
58,2023-04-30 00:00:00+00:00,21,259311
59,2023-05-31 00:00:00+00:00,30,158670
60,2023-06-30 00:00:00+00:00,25,86116
61,2023-07-31 00:00:00+00:00,27,29776
62,2023-08-31 00:00:00+00:00,47,25805
63,2023-09-30 00:00:00+00:00,29,55648
64,2023-10-31 00:00:00+00:00,59,119917
65,2023-11-30 00:00:00+00:00,26,21816
66,2023-12-31 00:00:00+00:00,28,146585
67,2024-01-31 00:00:00+00:00,32,84192
68,2024-02-29 00:00:00+00:00,33,113820
69,2024-03-31 00:00:00+00:00,29,12860
70,2024-04-30 00:00:00+00:00,27,11533
71,2024-05-31 00:00:00+00:00,29,117801
72,2024-06-30 00:00:00+00:00,25,28730
73,2024-07-31 00:00:00+00:00,31,160224
74,2024-08-31 00:00:00+00:00,24,57564
75,2024-09-30 00:00:00+00:00,27,19718
76,2024-10-31 00:00:00+00:00,30,32182
77,2024-11-30 00:00:00+00:00,26,90322
78,2024-12-31 00:00:00+00:00,29,17363
79,2025-01-31 00:00:00+00:00,22,269397
80,2025-02-28 00:00:00+00:00,26,234864
81,2025-03-31 00:00:00+00:00,21,94342
82,2025-04-30 00:00:00+00:00,27,391921
83,2025-05-31 00:00:00+00:00,29,147739
84,2025-06-30 00:00:00+00:00,27,229732
85,2025-07-31 00:00:00+00:00,33,370263
86,2025-08-31 00:00:00+00:00,35,375303
87,2025-09-30 00:00:00+00:00,22,153738
88,2025-10-31 00:00:00+00:00,35,124227
89,2025-11-30 00:00:00+00:00,36,138547
90,2025-12-31 00:00:00+00:00,46,221673
91,2026-01-31 00:00:00+00:00,41,232475
