,date,contributors,total_changes
0,2012-01-31 00:00:00+00:00,2,31588
1,2012-02-29 00:00:00+00:00,4,7174
2,2012-03-31 00:00:00+00:00,4,3126
3,2012-04-30 00:00:00+00:00,4,219
4,2012-05-31 00:00:00+00:00,2,819
5,2012-06-30 00:00:00+00:00,1,185
6,2012-07-31 00:00:00+00:00,3,84
7,2012-08-31 00:00:00+00:00,3,2647
8,2012-09-30 00:00:00+00:00,5,2127
9,2012-10-31 00:00:00+00:00,4,139
10,2012-11-30 00:00:00+00:00,2,10
11,2012-12-31 00:00:00+00:00,5,203
12,2013-01-31 00:00:00+00:00,3,137
13,2013-02-28 00:00:00+00:00,3,302
14,2013-03-31 00:00:00+00:00,3,50
15,2013-04-30 00:00:00+00:00,2,1220
16,2013-05-31 00:00:00+00:00,1,809
17,2013-06-30 00:00:00+00:00,3,767
18,2013-07-31 00:00:00+00:00,2,900
19,2013-08-31 00:00:00+00:00,2,450
20,2013-09-30 00:00:00+00:00,3,9
21,2013-10-31 00:00:00+00:00,5,2919
22,2013-11-30 00:00:00+00:00,2,3716
23,2013-12-31 00:00:00+00:00,1,4
24,2014-01-31 00:00:00+00:00,1,21
25,2014-02-28 00:00:00+00:00,3,11887
26,2014-03-31 00:00:00+00:00,4,1907
27,2014-04-30 00:00:00+00:00,6,36012
28,2014-05-31 00:00:00+00:00,3,67
29,2014-06-30 00:00:00+00:00,5,1032
30,2014-07-31 00:00:00+00:00,3,85
31,2014-08-31 00:00:00+00:00,2,30
32,2014-09-30 00:00:00+00:00,3,238
33,2014-10-31 00:00:00+00:00,6,1352
34,2014-11-30 00:00:00+00:00,5,1252
35,2014-12-31 00:00:00+00:00,3,1074
36,2015-01-31 00:00:00+00:00,6,4377
37,2015-02-28 00:00:00+00:00,4,951
38,2015-03-31 00:00:00+00:00,4,6336
39,2015-04-30 00:00:00+00:00,8,2215
40,2015-05-31 00:00:00+00:00,10,3664
41,2015-06-30 00:00:00+00:00,9,55971
42,2015-07-31 00:00:00+00:00,15,7488
43,2015-08-31 00:00:00+00:00,8,10505
44,2015-09-30 00:00:00+00:00,7,5616
45,2015-10-31 00:00:00+00:00,10,328981
46,2015-11-30 00:00:00+00:00,11,11993
47,2015-12-31 00:00:00+00:00,13,20289
48,2016-01-31 00:00:00+00:00,13,30256
49,2016-02-29 00:00:00+00:00,22,28769
50,2016-03-31 00:00:00+00:00,23,79370
51,2016-04-30 00:00:00+00:00,18,3923
52,2016-05-31 00:00:00+00:00,13,29685
53,2016-06-30 00:00:00+00:00,14,21542
54,2016-07-31 00:00:00+00:00,12,61515
55,2016-08-31 00:00:00+00:00,13,134048
56,2016-09-30 00:00:00+00:00,16,463013
57,2016-10-31 00:00:00+00:00,18,61784
58,2016-11-30 00:00:00+00:00,48,105571
59,2016-12-31 00:00:00+00:00,52,506250
60,2017-01-31 00:00:00+00:00,72,205036
61,2017-02-28 00:00:00+00:00,98,63864
62,2017-03-31 00:00:00+00:00,123,80005
63,2017-04-30 00:00:00+00:00,113,86564
64,2017-05-31 00:00:00+00:00,111,58196
65,2017-06-30 00:00:00+00:00,112,76323
66,2017-07-31 00:00:00+00:00,104,79327
67,2017-08-31 00:00:00+00:00,125,148518
68,2017-09-30 00:00:00+00:00,109,200071
69,2017-10-31 00:00:00+00:00,115,82865
70,2017-11-30 00:00:00+00:00,111,265495
71,2017-12-31 00:00:00+00:00,79,64150
72,2018-01-31 00:00:00+00:00,108,92766
73,2018-02-28 00:00:00+00:00,105,114446
74,2018-03-31 00:00:00+00:00,125,536007
75,2018-04-30 00:00:00+00:00,102,165304
76,2018-05-31 00:00:00+00:00,100,96678
77,2018-06-30 00:00:00+00:00,99,131235
78,2018-07-31 00:00:00+00:00,135,130912
79,2018-08-31 00:00:00+00:00,145,140072
80,2018-09-30 00:00:00+00:00,125,144819
81,2018-10-31 00:00:00+00:00,157,174674
82,2018-11-30 00:00:00+00:00,140,215347
83,2018-12-31 00:00:00+00:00,138,148229
84,2019-01-31 00:00:00+00:00,137,159301
85,2019-02-28 00:00:00+00:00,140,77371
86,2019-03-31 00:00:00+00:00,150,86700
87,2019-04-30 00:00:00+00:00,146,96282
88,2019-05-31 00:00:00+00:00,162,110325
89,2019-06-30 00:00:00+00:00,160,155148
90,2019-07-31 00:00:00+00:00,143,87198
91,2019-08-31 00:00:00+00:00,155,149409
92,2019-09-30 00:00:00+00:00,144,246948
93,2019-10-31 00:00:00+00:00,175,160442
94,2019-11-30 00:00:00+00:00,153,103674
95,2019-12-31 00:00:00+00:00,114,59131
96,2020-01-31 00:00:00+00:00,147,100092
97,2020-02-29 00:00:00+00:00,179,192295
98,2020-03-31 00:00:00+00:00,180,205399
99,2020-04-30 00:00:00+00:00,204,274383
100,2020-05-31 00:00:00+00:00,171,167948
101,2020-06-30 00:00:00+00:00,181,144089
102,2020-07-31 00:00:00+00:00,213,93444
103,2020-08-31 00:00:00+00:00,188,185954
104,2020-09-30 00:00:00+00:00,215,159874
105,2020-10-31 00:00:00+00:00,195,121249
106,2020-11-30 00:00:00+00:00,183,140821
107,2020-12-31 00:00:00+00:00,204,119066
108,2021-01-31 00:00:00+00:00,187,86656
109,2021-02-28 00:00:00+00:00,184,156416
110,2021-03-31 00:00:00+00:00,214,146058
111,2021-04-30 00:00:00+00:00,228,247875
112,2021-05-31 00:00:00+00:00,205,284876
113,2021-06-30 00:00:00+00:00,207,193651
114,2021-07-31 00:00:00+00:00,194,128574
115,2021-08-31 00:00:00+00:00,209,340887
116,2021-09-30 00:00:00+00:00,197,358155
117,2021-10-31 00:00:00+00:00,192,230449
