,date,contributors,total_changes
0,2016-02-29 00:00:00+00:00,2,2494
1,2016-03-31 00:00:00+00:00,2,11072
2,2016-04-30 00:00:00+00:00,2,5873
3,2016-05-31 00:00:00+00:00,3,960
4,2016-06-30 00:00:00+00:00,6,38986
5,2016-07-31 00:00:00+00:00,6,28891
6,2016-08-31 00:00:00+00:00,5,15471
7,2016-09-30 00:00:00+00:00,6,39084
8,2016-10-31 00:00:00+00:00,6,119275
9,2016-11-30 00:00:00+00:00,7,27699
10,2016-12-31 00:00:00+00:00,8,24118
11,2017-01-31 00:00:00+00:00,7,27621
12,2017-02-28 00:00:00+00:00,6,28677
13,2017-03-31 00:00:00+00:00,7,57816
14,2017-04-30 00:00:00+00:00,7,6906
15,2017-05-31 00:00:00+00:00,11,19539
16,2017-06-30 00:00:00+00:00,7,12169
17,2017-07-31 00:00:00+00:00,6,43847
18,2017-08-31 00:00:00+00:00,11,19341
19,2017-09-30 00:00:00+00:00,12,6836
20,2017-10-31 00:00:00+00:00,9,10209
21,2017-11-30 00:00:00+00:00,10,15970
22,2017-12-31 00:00:00+00:00,11,17754
23,2018-01-31 00:00:00+00:00,14,17597
24,2018-02-28 00:00:00+00:00,16,12729
25,2018-03-31 00:00:00+00:00,17,22647
26,2018-04-30 00:00:00+00:00,18,32978
27,2018-05-31 00:00:00+00:00,32,41043
28,2018-06-30 00:00:00+00:00,23,39939
29,2018-07-31 00:00:00+00:00,20,53027
30,2018-08-31 00:00:00+00:00,26,41367
31,2018-09-30 00:00:00+00:00,19,39891
32,2018-10-31 00:00:00+00:00,18,84057
33,2018-11-30 00:00:00+00:00,21,12788
34,2018-12-31 00:00:00+00:00,24,19935
35,2019-01-31 00:00:00+00:00,25,22158
36,2019-02-28 00:00:00+00:00,39,53521
37,2019-03-31 00:00:00+00:00,33,44506
38,2019-04-30 00:00:00+00:00,38,16955
39,2019-05-31 00:00:00+00:00,23,27943
40,2019-06-30 00:00:00+00:00,21,25332
41,2019-07-31 00:00:00+00:00,34,43409
42,2019-08-31 00:00:00+00:00,35,114929
43,2019-09-30 00:00:00+00:00,23,37900
44,2019-10-31 00:00:00+00:00,25,24141
45,2019-11-30 00:00:00+00:00,26,46312
46,2019-12-31 00:00:00+00:00,41,75016
47,2020-01-31 00:00:00+00:00,46,39228
48,2020-02-29 00:00:00+00:00,37,81969
49,2020-03-31 00:00:00+00:00,41,89413
50,2020-04-30 00:00:00+00:00,49,139088
51,2020-05-31 00:00:00+00:00,44,59817
52,2020-06-30 00:00:00+00:00,51,118403
53,2020-07-31 00:00:00+00:00,60,85120
54,2020-08-31 00:00:00+00:00,60,70580
55,2020-09-30 00:00:00+00:00,57,189843
56,2020-10-31 00:00:00+00:00,58,46306
57,2020-11-30 00:00:00+00:00,60,81428
58,2020-12-31 00:00:00+00:00,50,100255
59,2021-01-31 00:00:00+00:00,56,58468
60,2021-02-28 00:00:00+00:00,59,45730
61,2021-03-31 00:00:00+00:00,60,93696
62,2021-04-30 00:00:00+00:00,52,39508
63,2021-05-31 00:00:00+00:00,55,50928
64,2021-06-30 00:00:00+00:00,61,63138
65,2021-07-31 00:00:00+00:00,71,71742
66,2021-08-31 00:00:00+00:00,73,87515
67,2021-09-30 00:00:00+00:00,51,96277
68,2021-10-31 00:00:00+00:00,64,139126
69,2021-11-30 00:00:00+00:00,65,100504
70,2021-12-31 00:00:00+00:00,63,45192
71,2022-01-31 00:00:00+00:00,68,522423
72,2022-02-28 00:00:00+00:00,59,113200
73,2022-03-31 00:00:00+00:00,73,163162
74,2022-04-30 00:00:00+00:00,79,108011
75,2022-05-31 00:00:00+00:00,71,194430
76,2022-06-30 00:00:00+00:00,77,317046
77,2022-07-31 00:00:00+00:00,81,168588
78,2022-08-31 00:00:00+00:00,68,119217
79,2022-09-30 00:00:00+00:00,72,62085
80,2022-10-31 00:00:00+00:00,64,125092
81,2022-11-30 00:00:00+00:00,56,154107
82,2022-12-31 00:00:00+00:00,57,60560
83,2023-01-31 00:00:00+00:00,71,70575
84,2023-02-28 00:00:00+00:00,60,78498
85,2023-03-31 00:00:00+00:00,67,112586
86,2023-04-30 00:00:00+00:00,62,154172
87,2023-05-31 00:00:00+00:00,57,152861
88,2023-06-30 00:00:00+00:00,59,127373
89,2023-07-31 00:00:00+00:00,62,97195
90,2023-08-31 00:00:00+00:00,66,171726
91,2023-09-30 00:00:00+00:00,58,108230
92,2023-10-31 00:00:00+00:00,60,141414
93,2023-11-30 00:00:00+00:00,59,122873
94,2023-12-31 00:00:00+00:00,52,51306
95,2024-01-31 00:00:00+00:00,56,69447
96,2024-02-29 00:00:00+00:00,44,85428
97,2024-03-31 00:00:00+00:00,48,76814
98,2024-04-30 00:00:00+00:00,61,110819
99,2024-05-31 00:00:00+00:00,50,47280
100,2024-06-30 00:00:00+00:00,45,55836
101,2024-07-31 00:00:00+00:00,54,224322
102,2024-08-31 00:00:00+00:00,52,61109
103,2024-09-30 00:00:00+00:00,46,43772
104,2024-10-31 00:00:00+00:00,46,57704
105,2024-11-30 00:00:00+00:00,54,75794
106,2024-12-31 00:00:00+00:00,68,69827
107,2025-01-31 00:00:00+00:00,51,64185
