,date,contributors,total_changes
0,2022-11-30 00:00:00+00:00,1,22297
1,2022-12-31 00:00:00+00:00,7,22080
2,2023-01-31 00:00:00+00:00,31,11370
3,2023-02-28 00:00:00+00:00,29,35473
4,2023-03-31 00:00:00+00:00,50,98480
5,2023-04-30 00:00:00+00:00,47,175395
6,2023-05-31 00:00:00+00:00,58,182374
7,2023-06-30 00:00:00+00:00,51,63223
8,2023-07-31 00:00:00+00:00,56,155364
9,2023-08-31 00:00:00+00:00,60,57942
10,2023-09-30 00:00:00+00:00,83,117905
11,2023-10-31 00:00:00+00:00,75,1035580
12,2023-11-30 00:00:00+00:00,103,79384
13,2023-12-31 00:00:00+00:00,90,60275
14,2024-01-31 00:00:00+00:00,113,108181
15,2024-02-29 00:00:00+00:00,124,5184447
16,2024-03-31 00:00:00+00:00,158,2027864
17,2024-04-30 00:00:00+00:00,119,111650
18,2024-05-31 00:00:00+00:00,137,165186
19,2024-06-30 00:00:00+00:00,121,98071
20,2024-07-31 00:00:00+00:00,115,60606
21,2024-08-31 00:00:00+00:00,108,113772
22,2024-09-30 00:00:00+00:00,98,89850
23,2024-10-31 00:00:00+00:00,108,70557
24,2024-11-30 00:00:00+00:00,67,212912
25,2024-12-31 00:00:00+00:00,66,41408
26,2025-01-31 00:00:00+00:00,70,53805
27,2025-02-28 00:00:00+00:00,72,94745
28,2025-03-31 00:00:00+00:00,78,62649
29,2025-04-30 00:00:00+00:00,43,2730621
30,2025-05-31 00:00:00+00:00,11,30625
