,date,contributors,total_changes
0,2010-01-31 00:00:00+00:00,2,293081
1,2010-02-28 00:00:00+00:00,2,77945
2,2010-03-31 00:00:00+00:00,7,174052
3,2010-04-30 00:00:00+00:00,6,77617
4,2010-05-31 00:00:00+00:00,7,173998
5,2010-06-30 00:00:00+00:00,8,134876
6,2010-07-31 00:00:00+00:00,9,96088
7,2010-08-31 00:00:00+00:00,8,176568
8,2010-09-30 00:00:00+00:00,13,267632
9,2010-10-31 00:00:00+00:00,11,448056
10,2010-11-30 00:00:00+00:00,15,493334
11,2010-12-31 00:00:00+00:00,14,169962
12,2011-01-31 00:00:00+00:00,18,26716
13,2011-02-28 00:00:00+00:00,11,60022
14,2011-03-31 00:00:00+00:00,14,151856
15,2011-04-30 00:00:00+00:00,32,275386
16,2011-05-31 00:00:00+00:00,25,299152
17,2011-06-30 00:00:00+00:00,19,230979
18,2011-07-31 00:00:00+00:00,27,191082
19,2011-08-31 00:00:00+00:00,29,669199
20,2011-09-30 00:00:00+00:00,27,5767413
21,2011-10-31 00:00:00+00:00,22,276998
22,2011-11-30 00:00:00+00:00,21,242405
23,2011-12-31 00:00:00+00:00,26,345616
24,2012-01-31 00:00:00+00:00,26,582787
25,2012-02-29 00:00:00+00:00,29,276986
26,2012-03-31 00:00:00+00:00,27,339013
27,2012-04-30 00:00:00+00:00,21,32028
28,2012-05-31 00:00:00+00:00,26,29841
29,2012-06-30 00:00:00+00:00,20,122133
30,2012-07-31 00:00:00+00:00,24,197504
31,2012-08-31 00:00:00+00:00,27,74039
32,2012-09-30 00:00:00+00:00,27,99982
33,2012-10-31 00:00:00+00:00,35,181894
34,2012-11-30 00:00:00+00:00,36,392928
35,2012-12-31 00:00:00+00:00,28,88505
36,2013-01-31 00:00:00+00:00,34,306344
37,2013-02-28 00:00:00+00:00,24,60239
38,2013-03-31 00:00:00+00:00,29,206396
39,2013-04-30 00:00:00+00:00,36,101100
40,2013-05-31 00:00:00+00:00,30,116551
41,2013-06-30 00:00:00+00:00,33,147664
42,2013-07-31 00:00:00+00:00,41,1104631
43,2013-08-31 00:00:00+00:00,31,297564
44,2013-09-30 00:00:00+00:00,28,92839
45,2013-10-31 00:00:00+00:00,31,82850
46,2013-11-30 00:00:00+00:00,25,175844
47,2013-12-31 00:00:00+00:00,26,69756
48,2014-01-31 00:00:00+00:00,37,243487
49,2014-02-28 00:00:00+00:00,39,295315
50,2014-03-31 00:00:00+00:00,33,411329
51,2014-04-30 00:00:00+00:00,34,79938
52,2014-05-31 00:00:00+00:00,37,41182
53,2014-06-30 00:00:00+00:00,34,70259
54,2014-07-31 00:00:00+00:00,43,418809
55,2014-08-31 00:00:00+00:00,31,28235
56,2014-09-30 00:00:00+00:00,40,221863
57,2014-10-31 00:00:00+00:00,34,65118
58,2014-11-30 00:00:00+00:00,40,126391
59,2014-12-31 00:00:00+00:00,37,14491
60,2015-01-31 00:00:00+00:00,49,76013
61,2015-02-28 00:00:00+00:00,35,84488
62,2015-03-31 00:00:00+00:00,35,110519
63,2015-04-30 00:00:00+00:00,44,26142
64,2015-05-31 00:00:00+00:00,33,51492
65,2015-06-30 00:00:00+00:00,35,48236
66,2015-07-31 00:00:00+00:00,47,45815
67,2015-08-31 00:00:00+00:00,37,450798
68,2015-09-30 00:00:00+00:00,40,343926
69,2015-10-31 00:00:00+00:00,67,849858
70,2015-11-30 00:00:00+00:00,66,572365
71,2015-12-31 00:00:00+00:00,39,4143
72,2016-01-31 00:00:00+00:00,35,10079
73,2016-02-29 00:00:00+00:00,37,610951
74,2016-03-31 00:00:00+00:00,33,3703
75,2016-04-30 00:00:00+00:00,48,8689
76,2016-05-31 00:00:00+00:00,32,2227
77,2016-06-30 00:00:00+00:00,36,2990
78,2016-07-31 00:00:00+00:00,46,5408
79,2016-08-31 00:00:00+00:00,46,13253
80,2016-09-30 00:00:00+00:00,53,12381
81,2016-10-31 00:00:00+00:00,74,5075
82,2016-11-30 00:00:00+00:00,33,4136
83,2016-12-31 00:00:00+00:00,43,6763
84,2017-01-31 00:00:00+00:00,27,2287
85,2017-02-28 00:00:00+00:00,39,2709
86,2017-03-31 00:00:00+00:00,49,3920
87,2017-04-30 00:00:00+00:00,28,2572
88,2017-05-31 00:00:00+00:00,31,3174
89,2017-06-30 00:00:00+00:00,66,16588
90,2017-07-31 00:00:00+00:00,39,19294
91,2017-08-31 00:00:00+00:00,32,21018
92,2017-09-30 00:00:00+00:00,36,16591
93,2017-10-31 00:00:00+00:00,50,2974
94,2017-11-30 00:00:00+00:00,36,25523
95,2017-12-31 00:00:00+00:00,40,6346
96,2018-01-31 00:00:00+00:00,32,9005
97,2018-02-28 00:00:00+00:00,39,5848
98,2018-03-31 00:00:00+00:00,30,5963
99,2018-04-30 00:00:00+00:00,42,3208
