,date,contributors,total_changes
0,2015-11-30 00:00:00+00:00,11,476952
1,2015-12-31 00:00:00+00:00,45,84627
2,2016-01-31 00:00:00+00:00,68,450973
3,2016-02-29 00:00:00+00:00,84,348068
4,2016-03-31 00:00:00+00:00,85,687902
5,2016-04-30 00:00:00+00:00,85,367681
6,2016-05-31 00:00:00+00:00,86,2113771
7,2016-06-30 00:00:00+00:00,104,579231
8,2016-07-31 00:00:00+00:00,103,500570
9,2016-08-31 00:00:00+00:00,120,1099047
10,2016-09-30 00:00:00+00:00,131,975582
11,2016-10-31 00:00:00+00:00,126,2660337
12,2016-11-30 00:00:00+00:00,143,1128295
13,2016-12-31 00:00:00+00:00,121,1364167
14,2017-01-31 00:00:00+00:00,131,1913365
15,2017-02-28 00:00:00+00:00,151,1986557
16,2017-03-31 00:00:00+00:00,202,1143628
17,2017-04-30 00:00:00+00:00,148,589665
18,2017-05-31 00:00:00+00:00,184,3816029
19,2017-06-30 00:00:00+00:00,177,1845849
20,2017-07-31 00:00:00+00:00,156,1150947
21,2017-08-31 00:00:00+00:00,162,455133
22,2017-09-30 00:00:00+00:00,159,1848356
23,2017-10-31 00:00:00+00:00,160,1033479
24,2017-11-30 00:00:00+00:00,206,3880100
25,2017-12-31 00:00:00+00:00,192,3168928
26,2018-01-31 00:00:00+00:00,227,2500156
27,2018-02-28 00:00:00+00:00,192,3888870
28,2018-03-31 00:00:00+00:00,231,3072024
29,2018-04-30 00:00:00+00:00,225,4205968
30,2018-05-31 00:00:00+00:00,194,2550232
31,2018-06-30 00:00:00+00:00,231,5145773
32,2018-07-31 00:00:00+00:00,230,5358524
33,2018-08-31 00:00:00+00:00,224,7811965
34,2018-09-30 00:00:00+00:00,209,7702000
35,2018-10-31 00:00:00+00:00,231,7049490
36,2018-11-30 00:00:00+00:00,220,9744011
37,2018-12-31 00:00:00+00:00,207,8691746
38,2019-01-31 00:00:00+00:00,229,6386028
39,2019-02-28 00:00:00+00:00,248,13336819
40,2019-03-31 00:00:00+00:00,275,14444636
41,2019-04-30 00:00:00+00:00,279,8919682
42,2019-05-31 00:00:00+00:00,257,12404511
43,2019-06-30 00:00:00+00:00,250,12001633
44,2019-07-31 00:00:00+00:00,265,7730632
45,2019-08-31 00:00:00+00:00,278,11154504
46,2019-09-30 00:00:00+00:00,264,5788254
47,2019-10-31 00:00:00+00:00,284,4230995
48,2019-11-30 00:00:00+00:00,268,12257212
49,2019-12-31 00:00:00+00:00,263,9031745
50,2020-01-31 00:00:00+00:00,278,12839464
51,2020-02-29 00:00:00+00:00,280,7763537
52,2020-03-31 00:00:00+00:00,269,8254636
53,2020-04-30 00:00:00+00:00,276,9803137
54,2020-05-31 00:00:00+00:00,260,5409521
55,2020-06-30 00:00:00+00:00,301,7848882
56,2020-07-31 00:00:00+00:00,268,4572164
57,2020-08-31 00:00:00+00:00,290,5540416
58,2020-09-30 00:00:00+00:00,248,5901715
59,2020-10-31 00:00:00+00:00,266,6765048
60,2020-11-30 00:00:00+00:00,244,3855815
61,2020-12-31 00:00:00+00:00,220,9275095
62,2021-01-31 00:00:00+00:00,248,4470449
63,2021-02-28 00:00:00+00:00,236,4884326
64,2021-03-31 00:00:00+00:00,264,3434086
65,2021-04-30 00:00:00+00:00,243,2587971
66,2021-05-31 00:00:00+00:00,234,7535718
67,2021-06-30 00:00:00+00:00,230,4447119
68,2021-07-31 00:00:00+00:00,227,3734247
69,2021-08-31 00:00:00+00:00,232,3827362
70,2021-09-30 00:00:00+00:00,204,2441635
71,2021-10-31 00:00:00+00:00,210,1750564
72,2021-11-30 00:00:00+00:00,187,3563668
73,2021-12-31 00:00:00+00:00,185,684661
74,2022-01-31 00:00:00+00:00,172,1818657
75,2022-02-28 00:00:00+00:00,182,1997502
76,2022-03-31 00:00:00+00:00,211,1539005
77,2022-04-30 00:00:00+00:00,192,3544324
78,2022-05-31 00:00:00+00:00,187,3075561
79,2022-06-30 00:00:00+00:00,179,1474351
80,2022-07-31 00:00:00+00:00,193,2544529
81,2022-08-31 00:00:00+00:00,235,6997519
82,2022-09-30 00:00:00+00:00,206,3021333
83,2022-10-31 00:00:00+00:00,232,9861974
84,2022-11-30 00:00:00+00:00,209,3340413
85,2022-12-31 00:00:00+00:00,216,8698103
86,2023-01-31 00:00:00+00:00,236,5465050
87,2023-02-28 00:00:00+00:00,221,5715785
88,2023-03-31 00:00:00+00:00,242,7119508
89,2023-04-30 00:00:00+00:00,219,1976749
90,2023-05-31 00:00:00+00:00,214,5058767
91,2023-06-30 00:00:00+00:00,222,3972672
92,2023-07-31 00:00:00+00:00,198,3208863
93,2023-08-31 00:00:00+00:00,210,3879939
94,2023-09-30 00:00:00+00:00,179,6269184
95,2023-10-31 00:00:00+00:00,190,9426064
96,2023-11-30 00:00:00+00:00,169,3392892
97,2023-12-31 00:00:00+00:00,153,1127247
98,2024-01-31 00:00:00+00:00,174,693829
99,2024-02-29 00:00:00+00:00,166,635395
100,2024-03-31 00:00:00+00:00,189,7005763
101,2024-04-30 00:00:00+00:00,169,2539797
102,2024-05-31 00:00:00+00:00,178,462417
103,2024-06-30 00:00:00+00:00,152,856512
104,2024-07-31 00:00:00+00:00,164,237215
105,2024-08-31 00:00:00+00:00,164,561737
106,2024-09-30 00:00:00+00:00,171,6381062
107,2024-10-31 00:00:00+00:00,159,2285203
108,2024-11-30 00:00:00+00:00,162,608875
109,2024-12-31 00:00:00+00:00,157,2714805
110,2025-01-31 00:00:00+00:00,169,3367088
111,2025-02-28 00:00:00+00:00,161,4635001
112,2025-03-31 00:00:00+00:00,184,2543546
113,2025-04-30 00:00:00+00:00,178,455552
114,2025-05-31 00:00:00+00:00,162,781490
115,2025-06-30 00:00:00+00:00,167,1282547
116,2025-07-31 00:00:00+00:00,153,1388268
117,2025-08-31 00:00:00+00:00,145,988327
118,2025-09-30 00:00:00+00:00,154,340102
119,2025-10-31 00:00:00+00:00,162,249610
120,2025-11-30 00:00:00+00:00,150,280350
121,2025-12-31 00:00:00+00:00,147,235665
122,2026-01-31 00:00:00+00:00,152,191949
