,date,contributors,total_changes
0,2023-02-28 00:00:00+00:00,1,3391
1,2023-03-31 00:00:00+00:00,2,9353
2,2023-04-30 00:00:00+00:00,3,4853
3,2023-05-31 00:00:00+00:00,2,27163
4,2023-06-30 00:00:00+00:00,12,21504
5,2023-07-31 00:00:00+00:00,27,5379
6,2023-08-31 00:00:00+00:00,28,3483
7,2023-09-30 00:00:00+00:00,26,7840
8,2023-10-31 00:00:00+00:00,28,5728
9,2023-11-30 00:00:00+00:00,35,11749
10,2023-12-31 00:00:00+00:00,37,8764
11,2024-01-31 00:00:00+00:00,52,24077
12,2024-02-29 00:00:00+00:00,49,19916
13,2024-03-31 00:00:00+00:00,80,46502
14,2024-04-30 00:00:00+00:00,80,47309
15,2024-05-31 00:00:00+00:00,88,65533
16,2024-06-30 00:00:00+00:00,93,57232
17,2024-07-31 00:00:00+00:00,107,66354
18,2024-08-31 00:00:00+00:00,113,91114
19,2024-09-30 00:00:00+00:00,117,73918
20,2024-10-31 00:00:00+00:00,132,70539
21,2024-11-30 00:00:00+00:00,132,78683
22,2024-12-31 00:00:00+00:00,100,81360
23,2025-01-31 00:00:00+00:00,137,138812
24,2025-02-28 00:00:00+00:00,157,115161
25,2025-03-31 00:00:00+00:00,189,143306
26,2025-04-30 00:00:00+00:00,221,133750
27,2025-05-31 00:00:00+00:00,210,180235
28,2025-06-30 00:00:00+00:00,177,74627
29,2025-07-31 00:00:00+00:00,257,182179
30,2025-08-31 00:00:00+00:00,275,160018
31,2025-09-30 00:00:00+00:00,302,241926
32,2025-10-31 00:00:00+00:00,307,409729
33,2025-11-30 00:00:00+00:00,323,165882
34,2025-12-31 00:00:00+00:00,320,177690
35,2026-01-31 00:00:00+00:00,304,266914
