Dask, dask/dask, dask
HuggingFace, huggingface/transformers, transformers
IPython, ipython/ipython, ipython
Jax, jax-ml/jax, jax
JupyterScheduler, jupyter-server/jupyter-scheduler, jupyter-scheduler
Jupyter-AI, jupyterlab/jupyter-ai, jupyter-ai
JupyterLab, jupyterlab/jupyterlab, jupyterlab
KubeFlow, kubeflow/kubeflow, kubeflow
Kubernetes, kubernetes/kubernetes, kubernetes
Kueue, kubernetes-sigs/kueue, kueue
LangchainAWS, langchain-ai/langchain-aws, langchain-aws
Langchain, langchain-ai/langchain, langchain
LangChainGoogle, langchain-ai/langchain-google, langchain-google
MLFlow, mlflow/mlflow, mlflow
NumPy, numpy/numpy, numpy
Pandas, pandas-dev/pandas, pandas
PyTorch, pytorch/pytorch, pytorch
Ray, ray-project/ray, ray
ScikitLearn, scikit-learn/scikit-learn, scikit-learn
TensorFlow, tensorflow/tensorflow, tensorflow
vLLM, vllm-project/vllm, vllm
