Project,Start_Date,End_Date,p,q,m,t,T,yrs
dask-dask,2014-12-31,2025-01-31,0.0021016914152666203,0.03840945477226721,2179.4572046800895,122,200.48331598716004,6.540276332263336
huggingface-transformers,2018-10-31,2025-01-31,0.0026950951747228558,0.03505976067068362,10381.617925894005,76,246.36844677345707,14.197370564454756
ipython-ipython,2005-07-31,2025-01-31,0.0013868554341335442,0.026444713353934647,2724.4281965060923,235,287.7329081370075,4.394409011417291
jax-ml-jax,2018-11-30,2025-01-31,,,,75,75.0,0.0
jupyter-server-jupyter-scheduler,2022-09-30,2025-03-31,,,,31,31.0,0.0
jupyterlab-jupyter-ai,2023-02-28,2025-05-31,0.013561153942613095,0.1409534838871447,215.96418499651014,28,42.75295509672939,1.229412924727449
jupyterlab-jupyterlab,2015-07-31,2025-02-28,0.003510032916092554,0.033627400519822756,2656.2836240594124,116,205.57311400570032,7.464426167141693
kubeflow-kubeflow,2017-11-30,2024-11-30,0.022234938417378475,0.024890092251485692,888.737640798044,85,109.63188057142949,2.0526567142857908
kubernetes-kubernetes,2014-06-30,2025-01-31,0.004620430843186475,0.025962646613826326,22322.77492912554,128,297.8089995791794,14.150749964931615
kubernetes-sigs-kueue,2021-11-30,2025-01-31,0.0037096100663804557,0.0846467772078926,920.7060064795205,39,93.37730210892265,4.531441842410221
langchain-ai-langchain,2022-10-31,2025-02-28,0.012298456264989372,0.1718705886981669,4924.50373783144,29,55.4304621888698,2.2025385157391497
langchain-ai-langchain-aws,2024-03-31,2025-05-31,0.020136443788062723,0.14586953365864053,179.2156441972342,15,37.1389404779942,1.8449117064995164
langchain-ai-langchain-google,2024-02-29,2025-02-28,0.03914592344784144,0.23507026411149182,235.98312312631725,13,24.78449056656688,0.98204088054724
microsoft-DeepSpeed,2020-01-31,2025-01-31,0.00211778723453899,0.0670466573591825,1557.261184011525,61,127.9503710588338,5.579197588236149
mlflow-mlflow,2018-06-30,2025-01-31,0.0025774256062681745,0.014094945174713113,6374.447421874977,80,432.94122925064187,29.411769104220156
numpy-numpy,2001-12-31,2025-01-31,0.00018633047610007214,0.017209060325730198,9872.123333210251,278,596.1188482508289,26.50990402090241
pandas-dev-pandas,2009-07-31,2025-01-31,0.0007846619272907747,0.02833264000123583,9085.339784400301,187,339.36139750841323,12.696783125701103
pytorch-pytorch,2012-01-31,2025-01-31,0.0006502429231887941,0.03371648715139511,28125.42528982028,157,335.5976118403597,14.883134320029976
ray-project-ray,2016-02-29,2025-01-31,0.001052457590947915,0.04911713878220989,5377.8227009957145,108,202.34331808457273,7.861943173714394
run-llama-llama_index,2022-11-30,2025-05-31,0.004686205647231894,0.18763598575864956,2576.878680778319,31,55.17551190193677,2.0146259918280642
scikit-learn-scikit-learn,2010-01-31,2025-01-31,0.0016398212629878434,0.017463884095220532,9697.097916237213,181,437.883539304387,21.406961608698918
tensorflow-tensorflow,2015-11-30,2025-01-31,0.0038292699770463737,0.0313770337338905,26247.743087261697,111,276.6418832651693,13.803490272097443
vllm-project-vllm,2023-02-28,2025-05-31,0.0024503618806036953,0.17058887360402225,3265.520876092803,28,65.22000920130537,3.1016674334421146
